[1,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:
[0,0;0]:[-11,4;13]:[-9,-6;13]:[5,-5;17]:[5,-5;15]:[13,0;13]:[-17,8;13]:[-9,0;13]:[5,-3;12]:[1,6;12]:[3,2;10]:[1,0;7]:[-13,5;14]:[-5,-1;11]:[9,3;16]:[5,-12;15]:[3,-8;15]:[-11,-3;12]:[5,9;15]:[-11,2;14]:[-1,9;16]:[13,5;12]:[-5,-1;13]:[7,6;13]:[3,5;12]:[-7,-17;15]:[7,-4;13]:[-5,1;12]:[51,25;17]:[-1,2;13]:[37,0;15]:[1,-3;14]:[-19,-15;15]:[5,-1;11]:[19,-10;15]:[7,-3;16]:[-19,-2;14]:[-1,-7;12]:[-1,9;16]:[5,-11;13]:[-9,10;13]:[3,-1;15]:[3,-2;12]:[7,-4;11]:[17,-12;15]:[3,-2;11]:[17,35;17]:[-9,-3;13]:[-7,2;13]:[57,15;17]:[0,0;0]:[-7,18;13]:[-1,-1;11]:[-1,3;13]:[5,-1;12]:[5,14;13]:[-7,0;13]:[3,0;10]:[7,8;13]:[3,-5;14]:[5,-1;12]:[-17,6;15]:[-9,-3;12]:[1,0;11]:
[0,0;0]:[3,6;12]:[0,0;0]:[7,41;16]:[7,-5;14]:[-1,0;9]:[5,-2;12]:[-1,1;8]:[5,3;10]:[-7,1;12]:[-1,0;9]:[3,-2;10]:[1,-9;13]:[-3,1;11]:[35,-23;15]:[11,7;14]:[5,-5;14]:[5,-3;11]:[3,1;14]:[-9,2;13]:[-19,3;15]:[-1,1;11]:[7,1;11]:[1,-3;12]:[-1,4;11]:[11,5;14]:[-1,2;9]:[3,3;11]:[33,-21;16]:[3,-2;12]:[-1,8;14]:[-1,-1;13]:[-21,-3;14]:[1,3;10]:[13,15;14]:[13,7;15]:[3,-7;13]:[1,1;10]:[-19,3;15]:[-1,-1;12]:[-3,-2;10]:[-15,7;14]:[-1,-3;11]:[5,0;10]:[-13,4;14]:[-7,0;10]:[11,-23;16]:[-7,0;11]:[-3,6;12]:[3,-11;16]:[1,-2;10]:[-1,4;12]:[-1,-4;10]:[1,-5;11]:[-3,-3;11]:[-1,-2;10]:[-1,-3;12]:[-3,1;10]:[-7,-7;12]:[-3,-4;13]:[-3,3;11]:[-7,-3;14]:[-7,-5;11]:[3,-1;11]:
[0,0;0]:[-1,-5;13]:[35,-21;18]:[27,11;17]:[-39,-13;18]:[45,-19;17]:[-15,-1;16]:[-5,-66;18]:[37,-22;16]:[69,1;19]:[-3,2;12]:[-9,-3;12]:[7,4;15]:[23,18;16]:[3,-3;17]:[-9,-85;19]:[-25,-31;19]:[15,23;15]:[-1,21;17]:[25,10;17]:[-57,14;17]:[3,0;13]:[11,-3;19]:[-9,54;17]:[-3,-9;15]:[33,-10;16]:[31,31;17]:[5,5;12]:[5,11;17]:[21,22;15]:[-5,8;18]:[1,-3;12]:[-7,35;17]:[1,8;13]:[-31,51;19]:[-11,17;17]:[-23,-41;19]:[-13,-14;16]:[7,-18;17]:[29,-10;14]:[37,-13;17]:[-65,-5;18]:[3,3;15]:[3,3;11]:[-37,8;18]:[13,4;14]:[31,-24;17]:[3,-87;18]:[-13,-6;15]:[-29,-6;17]:[9,-8;15]:[-7,1;13]:[1,-10;14]:[-59,34;18]:[1,6;12]:[-9,-15;17]:[-31,0;17]:[3,17;13]:[-3,0;17]:[39,19;19]:[7,9;15]:[-97,87;19]:[5,0;10]:[39,14;16]:
[0,0;0]:[1,0;7]:[3,1;11]:[3,-4;12]:[-1,-5;12]:[-7,0;11]:[3,-1;10]:[-1,2;9]:[3,-1;10]:[1,7;13]:[0,0;0]:[-1,1;8]:[1,0;7]:[1,-4;10]:[-5,-2;10]:[1,-3;12]:[7,7;12]:[-1,1;7]:[3,-1;10]:[7,3;11]:[-1,-2;9]:[-1,0;7]:[-1,5;13]:[0,0;0]:[-1,1;9]:[1,-2;8]:[-5,2;11]:[-1,1;7]:[-3,10;12]:[-1,-1;9]:[13,1;12]:[0,0;0]:[-3,1;10]:[0,0;0]:[-15,-3;12]:[3,0;10]:[1,-1;13]:[1,3;10]:[-1,-2;9]:[0,0;0]:[-3,0;11]:[1,5;12]:[1,1;9]:[1,0;5]:[13,1;12]:[-1,0;8]:[-3,0;12]:[-7,-1;11]:[-3,-1;9]:[5,-2;12]:[-1,-2;9]:[1,0;7]:[0,0;0]:[1,-2;9]:[-1,1;7]:[-1,6;11]:[1,1;7]:[-1,1;8]:[-1,-1;8]:[15,-3;13]:[-1,0;7]:[-7,1;12]:[1,0;6]:[1,0;10]:
[0,0;0]:[-23,-4;14]:[25,31;15]:[-77,-3;18]:[41,-3;16]:[3,16;16]:[7,0;14]:[-7,7;15]:[25,-6;15]:[-5,-10;15]:[-1,-1;9]:[3,6;14]:[-7,11;15]:[-7,2;15]:[23,5;17]:[5,7;13]:[-1,-11;14]:[1,0;13]:[-27,-3;16]:[-9,-10;15]:[1,-5;17]:[3,16;13]:[23,-1;15]:[-3,-9;12]:[3,12;14]:[15,5;16]:[5,-4;16]:[-7,-1;12]:[13,31;18]:[-5,4;12]:[-5,4;16]:[-17,13;15]:[25,13;16]:[-1,1;11]:[-3,4;12]:[57,-21;17]:[5,-2;13]:[-9,14;15]:[1,-5;17]:[-9,-5;14]:[-17,8;16]:[-5,-15;16]:[-17,20;14]:[9,1;12]:[-1,8;16]:[15,0;12]:[31,-11;18]:[-5,-13;15]:[13,-4;12]:[63,-7;18]:[-9,2;14]:[-3,0;14]:[1,-3;13]:[-7,7;15]:[7,1;12]:[57,-12;16]:[-1,4;12]:[9,0;14]:[-3,-2;10]:[-1,10;14]:[-7,-6;13]:[21,8;14]:[-1,0;13]:[29,-6;15]:
[0,0;0]:[3,-3;13]:[25,-16;14]:[-39,-11;17]:[15,-5;15]:[-7,0;13]:[17,4;13]:[-3,-2;14]:[13,5;12]:[17,3;14]:[3,2;10]:[3,-2;11]:[-9,-1;14]:[3,-1;8]:[45,5;16]:[-13,11;14]:[11,2;14]:[1,0;12]:[-25,3;15]:[21,8;14]:[3,3;16]:[-7,-5;12]:[1,-2;14]:[13,-8;12]:[-5,9;12]:[-11,-11;15]:[-1,6;13]:[3,3;12]:[-9,-9;17]:[7,-2;13]:[-7,-2;15]:[1,-3;14]:[11,-9;15]:[5,-1;11]:[-9,5;14]:[35,11;16]:[9,3;13]:[-1,-1;12]:[3,3;16]:[1,-1;13]:[-1,0;13]:[5,-5;15]:[-9,-6;12]:[-3,1;11]:[-27,-14;15]:[5,2;11]:[13,29;17]:[-9,12;14]:[17,2;13]:[29,17;17]:[-1,-2;10]:[-1,-5;13]:[-1,-1;11]:[9,-8;14]:[-3,-3;12]:[17,-2;13]:[1,0;12]:[-1,1;11]:[9,-3;12]:[3,6;11]:[1,-2;12]:[-15,4;14]:[1,2;12]:[-3,1;10]:
[0,0;0]:[33,22;16]:[23,-1;19]:[-15,-9;16]:[15,29;19]:[73,43;19]:[-25,-3;17]:[19,-64;19]:[33,-9;18]:[-93,1;20]:[19,-3;14]:[19,-20;17]:[9,-7;16]:[55,31;18]:[-13,-8;18]:[79,-25;20]:[31,1;20]:[23,-35;16]:[21,-47;18]:[59,-24;18]:[-73,-39;18]:[-3,-5;15]:[-27,-11;20]:[-29,-44;18]:[41,-8;17]:[-3,31;17]:[-81,9;19]:[-37,-6;16]:[21,-24;16]:[39,41;17]:[81,-82;19]:[15,-6;15]:[39,-1;18]:[33,3;15]:[17,-5;20]:[-75,10;18]:[151,-101;20]:[23,-87;18]:[-9,-39;18]:[-5,3;15]:[29,-29;19]:[-31,113;19]:[-5,22;17]:[5,-2;13]:[-63,6;19]:[-17,-14;15]:[-31,-9;17]:[39,1;19]:[-39,7;17]:[27,-17;17]:[-43,-9;17]:[3,18;16]:[37,17;16]:[-43,-88;19]:[17,-14;16]:[11,49;19]:[-3,-34;18]:[-19,-26;17]:[33,46;18]:[129,7;20]:[7,-13;16]:[-17,43;20]:[-9,5;13]:[95,27;18]:
[0,0;0]:[-5,-10;15]:[-39,15;17]:[-7,4;16]:[-17,-24;17]:[69,10;18]:[7,14;15]:[63,26;17]:[27,0;17]:[-37,32;18]:[11,0;13]:[-19,6;16]:[15,2;14]:[61,20;17]:[3,10;16]:[25,11;18]:[-35,25;18]:[9,-5;14]:[-17,-17;16]:[11,5;16]:[21,-39;16]:[29,-10;14]:[-19,-6;18]:[-1,10;16]:[45,13;16]:[-1,-3;15]:[-53,2;18]:[-21,8;15]:[-17,0;16]:[-15,-32;16]:[41,9;17]:[-5,3;13]:[-43,5;16]:[5,10;14]:[-5,-45;18]:[-23,-52;16]:[47,2;18]:[29,20;17]:[21,-7;16]:[5,-2;13]:[-27,26;18]:[-55,2;17]:[27,1;16]:[-3,-3;12]:[-7,-23;17]:[7,-7;13]:[-5,-11;16]:[-3,-19;17]:[-9,4;16]:[-25,5;16]:[-53,-2;16]:[1,-10;15]:[21,-10;15]:[-15,22;17]:[5,-8;15]:[-37,-38;18]:[-47,20;16]:[55,2;16]:[1,-4;16]:[-39,12;18]:[21,1;14]:[17,15;18]:[3,-4;12]:[-19,0;17]:
[0,0;0]:[-39,-12;15]:[-7,13;18]:[7,-1;13]:[-43,-1;18]:[-23,19;18]:[-3,7;16]:[21,72;18]:[37,-53;17]:[-63,-33;19]:[-9,1;13]:[7,18;16]:[3,13;15]:[-13,11;17]:[-27,-26;17]:[57,21;19]:[73,67;19]:[25,-5;15]:[23,67;17]:[-7,20;17]:[-15,-3;17]:[9,-1;14]:[119,-53;19]:[-3,-12;17]:[-11,4;16]:[-13,-37;16]:[15,-7;18]:[15,0;15]:[-17,0;14]:[19,17;16]:[-69,46;18]:[-9,-2;14]:[5,-3;17]:[-3,3;14]:[55,-15;19]:[-13,32;17]:[61,45;19]:[-45,-11;17]:[49,-67;17]:[-7,-5;14]:[-11,-21;18]:[-101,3;18]:[-1,-14;16]:[1,-2;12]:[43,6;18]:[-3,-6;14]:[-35,24;16]:[-23,-13;18]:[-3,31;16]:[11,4;16]:[-7,19;16]:[-5,-4;15]:[25,1;15]:[-45,-32;18]:[-11,-12;15]:[51,1;18]:[-29,-38;17]:[-23,12;16]:[31,18;17]:[-21,-15;19]:[25,-3;15]:[41,33;19]:[3,-1;12]:[-37,23;17]:
[0,0;0]:[39,-40;16]:[-1,-37;19]:[7,6;13]:[51,57;19]:[15,-31;19]:[27,17;17]:[19,-24;19]:[51,-31;18]:[-25,17;20]:[1,3;14]:[17,18;17]:[21,15;16]:[53,-7;18]:[-13,30;18]:[-49,83;20]:[127,21;20]:[15,5;16]:[-23,-27;18]:[-33,-4;18]:[7,23;18]:[15,5;15]:[-63,-11;20]:[-37,60;18]:[-21,-16;17]:[21,1;17]:[-103,-45;19]:[-23,36;16]:[5,-11;15]:[37,27;17]:[-115,66;19]:[13,2;15]:[-53,-37;18]:[-21,-7;15]:[33,23;20]:[-11,-20;18]:[171,35;20]:[-11,-1;18]:[-57,-41;18]:[-33,9;15]:[3,-23;19]:[61,53;19]:[-47,-22;17]:[-9,2;13]:[29,10;19]:[-5,-10;15]:[-13,46;17]:[79,-27;19]:[-21,-43;17]:[5,34;17]:[15,-23;17]:[-11,-8;16]:[-1,3;16]:[37,112;19]:[19,8;16]:[-75,43;19]:[-27,38;18]:[31,0;17]:[-23,-50;18]:[77,-49;20]:[15,-13;16]:[63,-25;20]:[-15,9;13]:[45,77;18]:
