[1,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:
[0,0;0]:[1,5;11]:[1,0;7]:[-5,-10;13]:[-7,0;15]:[5,2;14]:[-17,9;15]:[-7,-3;14]:[3,-1;13]:[-9,-4;14]:[-3,-7;13]:[21,9;14]:[-25,6;15]:[-21,-2;14]:[-11,7;15]:[7,3;14]:[-19,15;15]:[-7,1;13]:[19,2;15]:[-1,-1;13]:[-3,-5;15]:[5,-3;13]:[9,-8;15]:[-7,-8;14]:[-3,6;15]:[21,4;14]:[23,-17;15]:[5,2;14]:[19,-1;15]:[3,-1;14]:[3,14;15]:[1,-2;12]:[-7,5;12]:[-7,-3;14]:[-3,-4;12]:[-7,20;14]:[33,-1;15]:[11,-3;12]:[23,-4;15]:[-7,2;13]:[3,-3;11]:[-19,-16;13]:[-13,1;12]:[-7,1;11]:[21,-9;15]:[-3,-4;12]:[-17,2;15]:[-3,-2;13]:[37,17;15]:[-7,-7;13]:[-9,2;15]:[-1,-1;13]:[7,-5;15]:[-21,16;14]:[-1,-4;15]:[-7,-1;13]:[15,18;15]:[15,-2;14]:[9,-17;15]:[3,2;14]:[9,-1;15]:[-3,0;12]:[-19,10;15]:[-3,1;14]:
[0,0;0]:[5,-1;11]:[1,1;9]:[-1,-2;13]:[21,-10;16]:[13,9;15]:[-15,4;16]:[-13,-8;15]:[-3,16;14]:[-5,5;15]:[3,2;14]:[23,-8;15]:[-57,22;16]:[3,-1;15]:[-5,8;16]:[13,40;15]:[11,13;16]:[23,12;14]:[35,15;16]:[5,0;14]:[-33,-14;16]:[15,22;16]:[-1,-30;16]:[13,-3;16]:[5,-7;16]:[11,-8;15]:[1,-5;16]:[-11,-25;15]:[5,24;16]:[35,-1;16]:[-15,-16;16]:[-17,-2;16]:[7,0;13]:[3,-8;15]:[-3,7;13]:[5,-5;15]:[-33,4;16]:[3,12;14]:[-9,38;16]:[-13,11;14]:[-5,8;12]:[9,0;13]:[5,-2;12]:[-1,5;11]:[11,-8;16]:[-9,-14;14]:[-29,-6;16]:[-5,-5;14]:[-25,1;16]:[15,4;14]:[-1,3;16]:[5,0;14]:[25,-16;16]:[-5,-7;16]:[29,-8;16]:[47,-24;16]:[-1,-21;16]:[9,-4;15]:[-13,9;16]:[-5,-7;15]:[11,26;16]:[23,-12;16]:[-13,-22;16]:[13,15;16]:
[0,0;0]:[1,-3;12]:[-1,3;9]:[-11,5;12]:[13,14;13]:[-1,3;10]:[-11,4;13]:[-1,2;11]:[1,-2;10]:[0,0;0]:[-1,1;9]:[3,2;11]:[5,8;13]:[-1,3;10]:[1,-8;13]:[1,-2;11]:[-5,-1;13]:[1,2;9]:[1,-11;13]:[0,0;0]:[11,-2;13]:[3,-5;13]:[-15,-8;13]:[3,-10;13]:[-3,-3;13]:[-3,2;12]:[-1,9;13]:[-1,-1;12]:[-3,-2;13]:[13,-6;13]:[-1,4;13]:[-5,1;13]:[0,0;0]:[-1,2;11]:[1,2;9]:[0,0;0]:[-9,-2;13]:[7,8;12]:[-9,0;13]:[-7,6;12]:[5,-3;11]:[7,1;12]:[3,-4;11]:[-7,-5;12]:[5,6;13]:[-3,0;12]:[1,2;13]:[-1,-2;12]:[5,1;13]:[-1,1;9]:[-9,9;13]:[0,0;0]:[3,-4;13]:[-3,-4;13]:[-11,-4;13]:[15,9;13]:[21,3;13]:[-7,6;12]:[-1,9;13]:[7,1;12]:[5,0;13]:[-17,7;13]:[3,8;13]:[-5,-4;13]:
[0,0;0]:[-23,15;15]:[-1,-1;12]:[7,4;15]:[5,10;16]:[7,3;14]:[-21,-13;16]:[-3,-5;13]:[-3,0;9]:[-7,-2;14]:[-9,-5;13]:[1,-4;13]:[-27,6;16]:[-3,-1;14]:[-9,1;16]:[3,5;13]:[-11,21;16]:[-3,5;13]:[5,12;16]:[1,-6;13]:[53,11;16]:[3,-10;15]:[-13,34;16]:[-7,6;13]:[-35,2;16]:[3,-4;15]:[9,-23;16]:[19,2;15]:[31,9;16]:[-9,1;14]:[-7,-2;16]:[-3,1;15]:[3,-5;12]:[9,2;13]:[3,0;8]:[-21,2;14]:[-23,31;16]:[1,1;15]:[27,-12;16]:[3,-6;15]:[15,-5;14]:[-7,-2;15]:[-23,-11;14]:[9,13;15]:[19,7;16]:[-17,11;15]:[21,16;16]:[1,-18;15]:[-25,-11;16]:[-1,-9;13]:[63,32;16]:[-7,-6;13]:[-7,-5;16]:[3,-2;13]:[27,-40;16]:[3,-8;15]:[1,6;16]:[-29,-14;15]:[5,27;16]:[-21,10;15]:[-37,25;16]:[13,-5;15]:[-39,16;16]:[17,3;14]:
[0,0;0]:[-5,-1;12]:[1,2;8]:[-11,-5;13]:[-5,10;15]:[5,-5;14]:[27,-6;15]:[21,-5;14]:[9,-9;13]:[-13,-7;14]:[1,10;13]:[1,-3;14]:[-11,-4;15]:[3,5;14]:[9,-6;15]:[11,5;14]:[-1,4;15]:[3,1;13]:[5,-10;15]:[11,-4;13]:[13,-7;15]:[11,-5;15]:[31,-9;15]:[-7,-12;15]:[-29,6;15]:[-3,-5;14]:[-3,18;15]:[27,24;14]:[15,-15;15]:[1,8;15]:[13,-17;15]:[-3,-1;15]:[7,6;12]:[-3,5;14]:[-7,4;12]:[-3,11;14]:[-19,10;15]:[3,0;9]:[-11,6;15]:[5,6;13]:[-3,-2;11]:[7,-1;13]:[-5,5;12]:[-1,1;12]:[-15,22;15]:[5,0;11]:[-3,-4;15]:[5,4;13]:[7,2;15]:[-5,-3;13]:[25,-10;15]:[11,4;13]:[19,-11;15]:[-9,-16;15]:[-31,1;15]:[-13,-1;15]:[-7,-14;15]:[3,-5;14]:[-29,0;15]:[-7,-12;14]:[9,-11;15]:[37,7;15]:[-21,5;15]:[15,8;15]:
[0,0;0]:[9,11;15]:[-1,-9;12]:[-3,1;15]:[11,5;15]:[-3,11;15]:[9,-8;13]:[1,2;15]:[-7,-2;14]:[-15,-5;15]:[-15,-2;14]:[-3,8;15]:[-13,-6;15]:[23,-7;15]:[19,9;14]:[-1,-2;15]:[5,-5;14]:[-11,13;14]:[11,-2;15]:[17,0;14]:[3,-7;15]:[-13,33;16]:[-3,8;14]:[-13,-35;16]:[-33,7;15]:[1,2;12]:[-7,-1;13]:[-3,-12;14]:[-25,9;15]:[-39,-7;16]:[-3,5;14]:[47,17;16]:[5,-8;13]:[25,-20;15]:[-3,5;13]:[15,17;15]:[1,2;12]:[15,11;15]:[7,-1;15]:[-9,11;15]:[-3,-7;14]:[23,5;15]:[5,6;14]:[1,9;15]:[-15,-4;14]:[13,19;15]:[9,-14;15]:[-19,15;15]:[1,0;6]:[-7,7;14]:[-17,5;15]:[-15,8;14]:[-3,0;15]:[13,-29;16]:[-9,-5;13]:[15,-7;16]:[1,-10;15]:[-21,-5;13]:[3,0;14]:[7,-1;14]:[-19,2;15]:[19,-27;16]:[-3,-6;11]:[-17,-29;16]:
[0,0;0]:[-5,-1;16]:[-3,-1;13]:[-21,-7;16]:[7,-35;16]:[-13,1;16]:[-7,3;12]:[-29,14;16]:[7,-6;15]:[-1,-15;16]:[27,6;15]:[-25,12;16]:[-9,24;16]:[25,19;16]:[21,2;15]:[29,18;16]:[11,18;15]:[15,-5;15]:[-9,-16;16]:[-13,0;15]:[-13,51;16]:[1,-25;17]:[29,-3;15]:[-19,-33;17]:[11,11;16]:[-7,-3;12]:[13,-6;13]:[-23,-6;15]:[3,35;16]:[-17,-25;17]:[-15,14;15]:[-11,3;17]:[11,0;14]:[43,-16;16]:[7,3;14]:[17,11;16]:[-3,-9;14]:[13,19;16]:[7,11;16]:[-7,-29;16]:[-21,-3;15]:[-23,17;16]:[-13,-4;15]:[-5,17;16]:[11,-5;15]:[-25,-1;16]:[17,4;16]:[3,27;16]:[3,-6;14]:[3,-15;15]:[-17,-27;16]:[-13,8;15]:[1,-20;16]:[3,-39;17]:[7,6;12]:[-27,-17;17]:[-7,20;16]:[-5,4;14]:[-7,5;15]:[-17,19;15]:[-11,-22;16]:[-15,-33;17]:[1,17;14]:[-39,21;17]:
[0,0;0]:[-7,-7;13]:[1,1;10]:[5,0;13]:[-7,-4;13]:[7,-9;13]:[-3,-2;12]:[-1,5;13]:[-1,5;12]:[3,-5;13]:[3,0;12]:[7,7;13]:[7,3;13]:[-11,5;13]:[3,-4;10]:[1,-5;13]:[11,2;13]:[3,8;12]:[-1,1;9]:[-1,-2;12]:[-11,-2;12]:[-7,0;14]:[-5,8;13]:[9,-14;14]:[-7,3;12]:[-3,-2;12]:[-13,-9;13]:[1,4;10]:[5,5;12]:[-19,10;14]:[11,8;13]:[7,6;14]:[-13,-4;11]:[3,-1;13]:[-3,2;11]:[13,-7;13]:[5,-5;12]:[11,0;13]:[-3,2;13]:[-1,7;13]:[5,-3;12]:[3,-2;13]:[-1,-1;12]:[-7,7;13]:[-1,2;11]:[13,-2;13]:[1,1;13]:[-3,7;13]:[7,1;13]:[7,-2;12]:[7,-2;12]:[-1,6;12]:[1,-1;9]:[-13,8;14]:[13,-1;13]:[9,-2;14]:[-9,0;11]:[9,3;12]:[13,10;13]:[3,1;11]:[1,-1;11]:[7,0;14]:[1,-3;13]:[7,-8;14]:
[0,0;0]:[31,-17;16]:[9,7;13]:[3,15;16]:[-55,16;16]:[13,-19;16]:[-1,3;15]:[13,-14;16]:[21,-26;15]:[37,49;16]:[13,12;15]:[-15,24;16]:[1,9;16]:[-1,23;16]:[5,7;14]:[-13,14;16]:[15,7;14]:[17,-13;15]:[9,-11;16]:[1,10;15]:[-21,10;16]:[43,15;17]:[-15,13;14]:[47,17;17]:[-23,-10;16]:[-1,6;14]:[-17,1;15]:[7,7;15]:[-1,-20;16]:[1,-15;17]:[-5,2;11]:[3,-25;17]:[5,-6;14]:[-19,-20;16]:[-11,1;14]:[27,11;16]:[-5,4;15]:[13,-21;16]:[-3,8;16]:[-11,-3;16]:[7,5;15]:[25,-5;16]:[-13,-2;15]:[-1,-39;16]:[-1,1;12]:[-33,19;16]:[3,13;16]:[-9,13;16]:[-5,2;15]:[-11,-7;15]:[25,30;16]:[1,18;15]:[-19,-15;16]:[-47,-9;17]:[-13,2;15]:[-1,-25;17]:[19,-11;16]:[-7,1;12]:[-9,2;12]:[41,-6;15]:[-3,5;16]:[-65,-37;17]:[-17,-5;15]:[-25,3;17]:
[0,0;0]:[7,-3;13]:[3,-2;9]:[5,7;14]:[3,-8;16]:[-27,-27;15]:[-29,-12;16]:[17,-11;15]:[-11,1;14]:[-21,-9;15]:[5,-12;14]:[-19,-1;15]:[21,14;16]:[19,27;15]:[25,16;16]:[15,11;15]:[19,-10;16]:[7,-9;14]:[-7,4;16]:[15,-10;14]:[-19,-17;16]:[-9,29;16]:[-17,-7;16]:[9,-10;16]:[-9,8;16]:[-7,25;15]:[1,8;16]:[19,-2;15]:[7,-37;16]:[33,-2;16]:[37,5;16]:[25,9;16]:[3,4;13]:[-7,15;15]:[-7,-6;13]:[21,-3;15]:[21,8;16]:[-3,-1;11]:[-19,-8;16]:[9,8;14]:[-1,0;12]:[7,-5;14]:[-1,-5;13]:[3,7;13]:[17,20;16]:[-3,-3;12]:[-3,-2;16]:[1,-26;14]:[3,-12;16]:[-1,11;14]:[5,4;16]:[-17,-2;14]:[3,7;16]:[15,-42;16]:[33,-1;16]:[-9,9;16]:[13,0;16]:[39,-19;15]:[23,-6;16]:[1,6;15]:[-15,3;16]:[-23,9;16]:[19,-1;16]:[23,-6;16]:
[0,0;0]:[1,0;9]:[0,0;0]:[1,-1;11]:[3,1;13]:[-7,-5;12]:[1,0;13]:[-3,0;12]:[3,0;11]:[-1,-1;12]:[3,2;11]:[9,0;12]:[-15,1;13]:[7,5;12]:[-5,-4;13]:[3,0;12]:[-9,-2;13]:[-3,0;11]:[17,5;13]:[-3,-2;11]:[1,4;13]:[5,4;12]:[5,1;13]:[1,-1;8]:[-1,-5;13]:[1,-1;12]:[9,-8;13]:[3,-1;12]:[3,-2;13]:[1,5;11]:[-5,5;13]:[7,-3;12]:[3,-2;10]:[-3,0;12]:[3,-3;10]:[1,1;12]:[-17,-16;13]:[-3,2;10]:[-11,-5;13]:[5,-5;11]:[-1,0;9]:[-5,3;11]:[-1,0;10]:[1,0;9]:[-21,-12;13]:[-3,1;10]:[17,5;13]:[9,-5;11]:[-5,12;13]:[-3,0;11]:[13,1;13]:[-3,-2;11]:[7,-2;13]:[1,0;6]:[3,3;13]:[9,-4;12]:[5,1;13]:[7,-5;12]:[-5,2;13]:[-3,5;12]:[-3,4;13]:[7,1;12]:[-3,3;13]:[-9,3;11]:
[0,0;0]:[9,-2;13]:[1,-1;10]:[-7,-3;11]:[15,-22;16]:[9,3;15]:[3,-8;16]:[-5,-4;15]:[-3,-12;14]:[-5,19;15]:[11,-8;14]:[-25,-12;15]:[-47,2;16]:[-17,5;15]:[13,-48;16]:[5,4;15]:[-23,-13;16]:[-1,-6;14]:[37,33;16]:[-7,-2;14]:[-19,-6;16]:[5,12;16]:[-63,14;16]:[11,-15;16]:[47,-9;16]:[-7,-12;15]:[-1,-7;16]:[23,-7;15]:[15,-8;16]:[-3,-21;16]:[7,-12;16]:[21,16;16]:[-5,-2;13]:[-29,4;15]:[1,3;13]:[5,13;15]:[29,-12;16]:[5,-3;14]:[-35,-26;16]:[13,-2;14]:[-1,-3;9]:[-5,3;11]:[-1,1;11]:[-7,0;13]:[13,-4;16]:[13,-7;14]:[-19,18;16]:[-7,4;14]:[-23,-25;16]:[7,6;14]:[5,-7;16]:[25,-2;14]:[-49,0;16]:[-19,1;16]:[-9,8;16]:[-19,10;16]:[17,17;16]:[-9,12;15]:[17,19;16]:[5,-13;15]:[-19,-14;16]:[5,-30;16]:[1,10;16]:[3,23;16]:
[0,0;0]:[23,10;14]:[1,2;11]:[1,8;14]:[-1,0;15]:[-3,1;10]:[15,-9;15]:[-5,9;12]:[-1,1;11]:[-1,0;12]:[1,1;8]:[-3,-1;12]:[-13,-4;15]:[1,-2;9]:[-9,15;15]:[5,7;12]:[13,4;15]:[-9,1;12]:[5,-11;15]:[1,3;11]:[-11,8;15]:[-5,-12;14]:[-1,5;15]:[1,6;12]:[-19,-5;15]:[5,-5;14]:[-15,-2;15]:[-13,-1;14]:[3,-16;15]:[1,6;11]:[-11,15;15]:[-5,8;14]:[-3,-1;10]:[5,3;12]:[-1,2;8]:[1,4;12]:[-7,-9;15]:[7,-3;14]:[-15,-6;15]:[-27,1;14]:[-1,0;13]:[-17,6;14]:[1,-5;13]:[-5,-8;14]:[-1,17;15]:[25,3;14]:[3,-14;15]:[3,-1;14]:[-1,-4;15]:[1,-3;12]:[19,-13;15]:[1,-5;11]:[-3,0;15]:[5,-2;11]:[-1,-3;15]:[-3,12;14]:[5,3;15]:[13,11;14]:[-3,14;15]:[-45,-9;14]:[-5,-8;15]:[5,-8;14]:[13,-25;15]:[3,-8;12]:
[0,0;0]:[-1,-12;13]:[-3,4;10]:[7,-18;13]:[-1,-1;13]:[9,-11;13]:[-15,1;13]:[-3,-1;13]:[-3,1;12]:[1,-1;13]:[-3,-2;12]:[-7,1;13]:[-11,-8;13]:[-5,3;13]:[1,4;13]:[3,1;13]:[11,7;13]:[-5,2;12]:[1,-6;13]:[5,2;12]:[-1,2;13]:[-3,3;11]:[-5,-3;13]:[3,1;11]:[-1,7;13]:[-11,0;12]:[-9,-2;13]:[-3,-3;12]:[-5,-4;13]:[-1,-2;10]:[-13,-9;13]:[-3,-4;11]:[1,-2;11]:[21,-7;13]:[-1,-2;11]:[-9,-3;13]:[1,-5;13]:[-11,2;13]:[-9,-1;13]:[7,12;13]:[1,-4;12]:[-15,-4;13]:[-1,1;12]:[3,2;13]:[-1,0;13]:[11,0;13]:[-1,-10;13]:[5,-2;13]:[3,6;13]:[-13,4;12]:[3,3;13]:[5,-6;12]:[-5,-1;13]:[-1,-3;11]:[5,6;13]:[1,8;11]:[3,0;13]:[-7,3;12]:[-3,3;13]:[5,2;12]:[-1,-1;13]:[3,1;11]:[9,-6;13]:[-5,-2;10]:
[0,0;0]:[-3,4;14]:[-3,6;11]:[1,-1;14]:[-7,-1;13]:[-3,0;14]:[7,6;13]:[-17,-7;14]:[-7,1;13]:[-11,6;14]:[1,-11;13]:[-17,9;14]:[-3,0;11]:[-1,0;14]:[-7,-3;12]:[17,-9;14]:[-1,6;14]:[-1,0;13]:[-3,-6;14]:[17,-5;13]:[-19,17;14]:[-9,1;13]:[11,13;14]:[-1,-1;7]:[7,-5;14]:[-17,7;13]:[5,1;14]:[11,-9;13]:[5,-5;14]:[-9,-4;13]:[31,11;14]:[-1,-1;9]:[3,3;12]:[-13,-3;14]:[-7,-4;12]:[-5,2;14]:[-3,-3;13]:[13,-5;14]:[-5,6;13]:[3,8;14]:[9,10;13]:[27,-9;14]:[1,-6;13]:[-7,-2;14]:[-5,-3;11]:[-5,-1;14]:[-1,-7;12]:[-3,-10;14]:[-23,-11;14]:[7,-2;13]:[-1,3;14]:[1,-5;13]:[-11,-10;14]:[5,-2;12]:[-9,4;14]:[1,14;13]:[11,-4;14]:[5,4;13]:[-3,-4;14]:[-1,-2;13]:[-3,-10;14]:[-1,3;12]:[-13,0;14]:[-3,-3;13]:
[0,0;0]:[5,-29;16]:[-5,-5;13]:[-7,-3;16]:[21,-2;16]:[-29,-25;16]:[21,16;15]:[11,-12;16]:[15,16;15]:[11,-21;16]:[-9,-16;15]:[7,26;16]:[1,-7;16]:[-15,-35;16]:[5,3;13]:[-11,-20;16]:[-1,-4;14]:[15,-13;15]:[-45,9;16]:[-29,6;15]:[17,-10;16]:[33,27;17]:[1,9;14]:[25,-27;17]:[15,-20;16]:[3,-6;14]:[3,1;15]:[-27,7;15]:[-11,-4;16]:[-69,21;17]:[-3,-5;12]:[-27,-1;17]:[-5,-2;14]:[-37,6;16]:[7,-7;14]:[5,33;16]:[-35,5;15]:[-13,13;16]:[5,-22;16]:[-37,-7;16]:[-23,9;15]:[27,1;16]:[-19,10;15]:[-3,-7;16]:[25,4;14]:[9,-11;16]:[31,-11;16]:[-39,-27;16]:[19,-16;15]:[-13,-3;15]:[31,-12;16]:[3,14;15]:[-5,-17;16]:[-25,-17;17]:[29,8;15]:[29,-1;17]:[25,-19;16]:[1,-2;11]:[7,-2;13]:[-25,-8;15]:[11,3;16]:[9,7;17]:[-11,7;15]:[13,27;17]:
