[1,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:
[0,0;0]:[17,-18;15]:[1,1;14]:[11,-1;14]:[1,-8;13]:[-17,-1;14]:[-27,8;15]:[3,9;13]:[3,0;13]:[11,5;14]:[-13,-1;13]:[-15,8;15]:[-3,18;15]:[15,2;13]:[-5,-5;13]:[-11,-4;13]:[-3,1;13]:[29,-26;15]:[5,12;14]:[7,3;14]:[-5,-3;13]:[13,0;14]:[5,-8;15]:[-1,7;12]:[3,-1;11]:[13,-1;14]:[1,0;9]:[13,14;15]:[17,0;15]:[-3,3;11]:[9,-3;13]:[3,10;12]:[-1,-13;14]:[-3,-4;14]:[-17,7;15]:[-9,2;12]:[1,1;8]:[-15,-7;15]:[-5,-12;14]:[1,-4;11]:[-5,-5;15]:[15,-2;13]:[9,-1;14]:[7,6;13]:[7,9;13]:[-1,-1;9]:[1,1;11]:[-1,-1;15]:[5,-13;14]:[1,-1;12]:[-25,5;15]:[-1,-1;5]:[9,-9;13]:[17,-9;15]:[7,4;12]:[1,0;11]:[7,-5;15]:[13,1;13]:[9,-13;14]:[-11,7;14]:[-11,1;14]:[3,-3;12]:[-11,-5;13]:[15,-9;15]:
[0,0;0]:[-7,7;14]:[-5,-2;14]:[13,4;13]:[-1,-1;12]:[11,4;14]:[-19,-5;14]:[-19,4;13]:[3,-3;14]:[5,2;13]:[-5,2;12]:[-23,3;14]:[5,7;14]:[-1,2;13]:[-9,0;12]:[5,-5;14]:[-7,-2;12]:[1,-11;14]:[-11,6;14]:[3,1;13]:[1,-1;11]:[-3,6;14]:[13,-5;14]:[-7,1;13]:[5,9;14]:[-7,-1;13]:[0,0;0]:[5,21;14]:[-3,-1;14]:[-5,3;13]:[-11,-1;11]:[-5,1;14]:[-11,-9;13]:[-23,20;14]:[-13,-6;14]:[7,0;11]:[7,-1;13]:[-3,2;14]:[-17,12;14]:[-1,4;10]:[-9,-2;14]:[3,-1;12]:[-5,1;13]:[5,-9;14]:[-5,-9;14]:[0,0;0]:[17,-5;13]:[-13,14;14]:[-3,8;13]:[-15,-3;14]:[-3,1;14]:[0,0;0]:[3,-6;13]:[-21,3;14]:[-13,-5;14]:[-1,0;10]:[-11,-11;14]:[-7,-2;12]:[13,6;13]:[11,2;14]:[-7,0;14]:[3,6;11]:[-5,-2;13]:[-19,-15;14]:
[0,0;0]:[57,16;18]:[61,-14;18]:[-19,47;17]:[-7,6;16]:[-87,0;18]:[41,-16;18]:[-15,8;17]:[35,37;18]:[17,33;17]:[-37,15;16]:[25,-46;18]:[-23,6;18]:[35,-14;17]:[-21,-25;16]:[-3,11;18]:[5,5;16]:[11,22;18]:[-51,-2;18]:[-39,-50;17]:[7,4;11]:[-83,46;18]:[43,-40;18]:[9,13;17]:[-61,1;18]:[31,6;17]:[-5,-5;12]:[-57,10;18]:[27,12;18]:[-17,3;17]:[3,-8;14]:[33,1;18]:[21,18;17]:[43,-16;18]:[-59,59;18]:[11,21;15]:[33,-15;17]:[-45,5;18]:[45,32;18]:[25,-9;14]:[-63,-65;18]:[-11,10;16]:[-13,-28;17]:[-63,11;18]:[99,-21;18]:[-5,-4;13]:[11,9;17]:[5,-21;18]:[-65,39;17]:[-53,13;18]:[1,-10;18]:[-7,1;13]:[53,26;17]:[39,6;18]:[-79,-1;18]:[-7,-8;13]:[21,52;18]:[-15,-1;16]:[-29,-13;17]:[15,-26;18]:[17,0;18]:[-5,-5;15]:[-27,2;17]:[-27,-40;18]:
[0,0;0]:[71,12;17]:[3,-16;17]:[-33,-19;16]:[11,0;15]:[-9,10;17]:[23,28;17]:[-25,14;16]:[21,25;17]:[59,-21;16]:[-31,5;15]:[-17,18;17]:[31,14;17]:[-19,8;16]:[1,-5;15]:[75,23;17]:[-1,-1;15]:[29,2;17]:[-29,8;17]:[7,14;16]:[3,3;10]:[3,56;17]:[-43,8;17]:[-1,13;16]:[5,-15;17]:[-7,-10;16]:[5,3;11]:[25,-10;17]:[-35,28;17]:[1,-5;16]:[-7,-4;13]:[-9,37;17]:[19,-18;16]:[9,2;17]:[23,-19;17]:[-1,5;14]:[23,-7;16]:[-15,-29;17]:[-9,-34;17]:[-5,-3;13]:[27,-7;17]:[-13,0;15]:[-3,28;16]:[-37,3;17]:[-23,-49;17]:[5,6;12]:[-35,-11;16]:[39,45;17]:[-27,-15;16]:[-15,9;17]:[23,-6;17]:[-9,4;11]:[11,12;16]:[65,-38;17]:[43,3;17]:[-1,2;12]:[35,-12;17]:[3,-1;15]:[-15,-3;16]:[-51,16;17]:[-21,-6;17]:[-7,13;14]:[-5,20;16]:[-29,-16;17]:
[0,0;0]:[61,-12;18]:[-47,-18;18]:[41,23;17]:[-35,10;16]:[-35,-28;18]:[13,-12;18]:[53,-28;17]:[-41,85;18]:[-19,-31;17]:[-17,7;16]:[13,-18;18]:[29,50;18]:[47,-18;17]:[-1,15;16]:[73,-37;18]:[17,-19;16]:[-73,2;18]:[-31,18;18]:[45,42;17]:[5,0;11]:[1,-30;18]:[7,76;18]:[-11,21;17]:[-73,41;18]:[43,26;17]:[3,3;12]:[-13,6;18]:[39,-32;18]:[-13,-21;17]:[7,-8;14]:[13,49;18]:[9,-10;17]:[-57,12;18]:[97,-21;18]:[23,13;15]:[-19,1;17]:[23,21;18]:[49,36;18]:[5,-9;14]:[-35,15;18]:[-7,-18;16]:[-1,40;17]:[45,27;18]:[-9,-29;18]:[19,-4;13]:[31,-15;17]:[-47,-37;18]:[19,31;17]:[-33,-27;18]:[-43,-6;18]:[5,5;13]:[-39,6;17]:[19,-14;18]:[13,7;18]:[5,-4;13]:[73,0;18]:[13,-1;16]:[23,11;17]:[-37,-46;18]:[-43,-52;18]:[-17,-13;15]:[41,-18;17]:[25,-12;18]:
[0,0;0]:[-3,-8;16]:[7,-6;16]:[-7,-3;15]:[7,-4;14]:[-37,24;16]:[13,16;16]:[7,4;15]:[1,17;16]:[-3,7;15]:[-9,-7;14]:[5,-18;16]:[53,10;16]:[-27,18;15]:[-3,25;14]:[-33,-1;16]:[1,3;14]:[-5,-14;16]:[-69,-2;16]:[-11,10;15]:[-1,1;10]:[27,-18;16]:[-13,0;16]:[3,1;15]:[-27,-11;16]:[-5,-2;15]:[-3,1;10]:[-17,-14;16]:[-5,16;16]:[-27,3;15]:[-7,0;12]:[-9,-3;16]:[-19,14;15]:[1,22;16]:[5,5;16]:[-5,8;13]:[-21,-11;15]:[35,-5;16]:[-1,-2;16]:[1,-3;12]:[-47,17;16]:[-21,-4;14]:[-5,-12;15]:[11,29;16]:[9,-11;16]:[-3,-2;11]:[9,5;15]:[-43,5;16]:[-17,-27;15]:[29,15;16]:[9,10;16]:[-3,-6;12]:[-21,2;15]:[-17,-30;16]:[-1,17;16]:[3,0;11]:[-27,-16;16]:[-5,-17;14]:[11,1;15]:[33,-8;16]:[23,2;16]:[-5,1;13]:[-21,10;15]:[-11,-4;16]:
[0,0;0]:[11,20;15]:[-19,-5;14]:[21,-5;14]:[-5,-2;13]:[-1,9;14]:[7,2;15]:[-1,-1;13]:[-9,7;13]:[13,5;14]:[5,7;13]:[-5,-6;15]:[-1,8;15]:[7,2;13]:[5,-5;13]:[1,5;13]:[11,1;13]:[-9,-4;15]:[13,0;14]:[-3,3;14]:[-7,-1;13]:[21,12;14]:[7,2;15]:[3,-2;12]:[3,6;12]:[15,-13;14]:[-1,0;9]:[-25,-4;15]:[-21,-6;15]:[1,0;9]:[-5,-1;13]:[-9,6;11]:[-3,7;14]:[-3,4;14]:[9,15;15]:[1,-4;12]:[-1,-3;11]:[7,17;15]:[27,-4;14]:[-1,2;11]:[13,3;15]:[-3,0;13]:[-5,7;14]:[15,11;13]:[15,6;13]:[1,1;9]:[-3,1;8]:[9,-9;15]:[11,-9;14]:[1,-1;9]:[-3,5;15]:[-1,0;6]:[5,-3;13]:[27,15;15]:[-5,0;11]:[-1,-2;11]:[-19,-1;15]:[-21,9;13]:[-1,-9;14]:[-7,5;14]:[5,7;14]:[5,9;12]:[9,1;13]:[21,-13;15]:
[0,0;0]:[-1,5;13]:[-59,8;16]:[1,-6;11]:[-1,2;12]:[-11,20;16]:[3,0;12]:[11,2;15]:[-29,-6;16]:[-1,0;7]:[7,1;12]:[3,5;12]:[-13,-7;13]:[3,-6;15]:[-1,-2;12]:[-11,-2;16]:[7,1;12]:[3,-1;11]:[13,-18;16]:[15,14;14]:[-21,6;14]:[-3,14;16]:[1,-1;8]:[-7,14;15]:[11,-4;16]:[11,-6;14]:[-1,1;10]:[-1,10;12]:[1,5;12]:[-19,-22;15]:[-27,-2;14]:[-27,-8;16]:[3,9;14]:[37,12;16]:[-3,6;14]:[11,-2;12]:[17,0;15]:[-9,12;14]:[-21,-28;16]:[1,2;11]:[-15,-10;14]:[3,0;9]:[-13,-5;14]:[25,-2;16]:[-17,22;16]:[-1,0;10]:[-1,-12;15]:[-15,2;14]:[-1,-2;13]:[7,-10;16]:[7,-13;15]:[3,0;11]:[13,-4;15]:[-15,17;15]:[17,-2;16]:[-1,-5;11]:[-3,-5;15]:[-9,0;12]:[3,-5;13]:[-15,-32;16]:[-25,0;16]:[-7,4;11]:[-11,-12;15]:[29,-9;15]:
[0,0;0]:[-21,-6;14]:[-1,2;12]:[-9,5;13]:[-3,3;12]:[5,-3;12]:[15,-8;14]:[-1,2;11]:[27,1;13]:[7,-1;13]:[-1,1;12]:[3,0;14]:[7,6;14]:[5,2;10]:[-5,8;12]:[5,-1;13]:[1,-1;12]:[3,-4;14]:[-3,-3;11]:[-7,-7;13]:[9,-7;12]:[-7,-1;11]:[-9,-10;14]:[7,-3;12]:[9,0;13]:[-1,1;13]:[-1,-1;7]:[11,0;14]:[-5,-14;14]:[1,0;12]:[-1,-5;12]:[1,2;13]:[1,3;13]:[9,-5;12]:[-5,11;14]:[1,0;8]:[9,-2;12]:[-19,-3;14]:[-3,-1;12]:[-1,0;10]:[-5,-9;14]:[7,3;12]:[-5,3;13]:[1,6;13]:[1,2;13]:[1,3;9]:[-15,0;12]:[-1,3;14]:[5,-1;13]:[-17,-1;13]:[-15,13;14]:[5,3;11]:[1,-5;11]:[7,-9;14]:[1,5;13]:[1,-3;10]:[-11,-13;14]:[-1,4;12]:[1,-1;13]:[1,0;7]:[1,-1;11]:[3,-1;11]:[-3,5;11]:[13,15;14]:
[0,0;0]:[-1,-7;14]:[1,-1;13]:[3,6;13]:[5,3;12]:[-5,-5;13]:[23,7;14]:[-5,-1;12]:[7,1;10]:[-5,-4;13]:[-3,6;12]:[-5,-9;14]:[3,-3;14]:[5,-8;12]:[1,0;12]:[1,-1;10]:[11,-2;12]:[-13,3;14]:[-5,14;13]:[15,-8;13]:[-7,0;12]:[-5,2;13]:[7,-11;14]:[1,-1;10]:[1,-1;12]:[5,2;13]:[1,0;7]:[-21,-9;14]:[11,13;14]:[1,2;11]:[-1,-4;12]:[3,4;12]:[7,4;13]:[5,-4;13]:[-13,-14;14]:[5,1;11]:[-9,6;11]:[5,-2;14]:[-13,-8;13]:[1,-3;10]:[11,6;14]:[3,-1;12]:[-7,-2;13]:[-5,-1;11]:[5,-1;10]:[1,0;8]:[1,5;11]:[-9,6;14]:[9,4;13]:[-1,-5;12]:[-5,-10;14]:[3,-1;9]:[-5,5;12]:[5,6;14]:[11,-1;12]:[-1,2;10]:[-21,0;14]:[-1,-4;12]:[1,0;13]:[-5,1;13]:[7,5;13]:[5,2;11]:[-1,-3;12]:[11,-12;14]:
