[1,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:
[0,0;0]:[5,-41;17]:[-7,15;11]:[-35,-23;14]:[63,15;17]:[5,-7;13]:[15,18;16]:[35,-5;16]:[-47,5;16]:[-63,-5;15]:[7,-27;18]:[35,1;18]:[-3,-20;16]:[-7,55;15]:[133,43;18]:[115,-39;18]:
[0,0;0]:[-59,-28;15]:[31,15;13]:[-1,16;13]:[39,-42;15]:[0,0;0]:[-9,-2;14]:[13,11;14]:[9,2;14]:[-33,17;13]:[-13,-28;16]:[7,44;16]:[5,-7;14]:[1,-16;13]:[-63,4;16]:[-1,0;16]:
[0,0;0]:[39,87;17]:[31,30;15]:[29,1;15]:[105,-21;17]:[0,0;0]:[9,-13;16]:[17,4;16]:[-9,13;16]:[27,-28;15]:[-15,73;18]:[-227,77;18]:[-35,22;16]:[-29,-1;15]:[-37,-5;18]:[221,81;18]:
[0,0;0]:[7,5;14]:[-11,5;16]:[-51,25;16]:[11,4;12]:[25,0;14]:[-81,87;16]:[61,13;16]:[-9,-6;12]:[-17,7;15]:[-23,-8;14]:[1,-1;14]:[95,29;15]:[-1,-3;12]:[3,-12;13]:[-7,-2;13]:
[0,0;0]:[31,59;16]:[31,18;14]:[5,13;14]:[-95,39;16]:[0,0;0]:[1,15;15]:[-31,-16;15]:[-1,-15;15]:[-21,8;14]:[-7,5;17]:[-59,89;17]:[29,-14;15]:[-5,-13;14]:[115,15;17]:[-27,-99;17]:
[0,0;0]:[-25,-14;16]:[39,-59;16]:[-17,3;16]:[27,-10;16]:[-11,-12;14]:[33,10;16]:[69,-26;16]:[-23,-4;15]:[21,20;15]:[-37,-38;17]:[35,-46;17]:[-7,-1;13]:[-49,-18;14]:[117,52;17]:[155,-56;17]:
[0,0;0]:[-27,7;16]:[19,-22;14]:[33,35;14]:[19,23;16]:[9,2;10]:[-1,9;15]:[3,4;15]:[-35,9;15]:[-7,8;14]:[-53,-39;17]:[-33,13;17]:[-9,-16;15]:[-15,47;14]:[65,27;17]:[-73,73;17]:
[0,0;0]:[-73,22;16]:[-59,11;16]:[-3,25;16]:[-49,-58;16]:[-5,24;14]:[15,-36;16]:[55,-20;16]:[-67,8;15]:[-49,-22;15]:[87,38;17]:[7,-18;17]:[5,3;11]:[7,-14;14]:[113,-20;17]:[-1,48;17]:
[0,0;0]:[5,8;11]:[-1,-1;9]:[-1,0;9]:[-9,2;11]:[0,0;0]:[-1,-6;10]:[13,7;10]:[1,6;10]:[-1,1;9]:[19,-16;12]:[7,8;12]:[-11,5;10]:[1,0;9]:[1,8;12]:[-1,-4;12]:
[0,0;0]:[25,-25;14]:[-5,23;16]:[-61,3;16]:[-3,-4;12]:[47,4;14]:[1,-51;16]:[19,-65;16]:[9,18;12]:[1,13;15]:[-25,-4;14]:[7,-19;14]:[1,39;15]:[1,-1;12]:[21,4;13]:[-1,10;13]:
[0,0;0]:[-3,3;12]:[-9,0;14]:[-17,28;14]:[5,-1;11]:[-3,-25;12]:[-23,-36;14]:[-21,0;14]:[-5,2;9]:[-23,0;13]:[-11,-2;11]:[-3,0;10]:[13,4;13]:[5,-1;10]:[15,-7;12]:[-3,3;12]:
[0,0;0]:[21,-11;13]:[3,7;15]:[-5,-29;15]:[-1,5;11]:[7,20;13]:[-63,-27;15]:[35,-33;15]:[-1,-16;11]:[17,5;14]:[1,-6;13]:[9,-5;13]:[-7,-21;14]:[-3,-3;11]:[-17,7;12]:[-3,-1;12]:
[0,0;0]:[55,3;17]:[-9,-14;15]:[-19,5;15]:[-55,-17;17]:[0,0;0]:[41,-9;16]:[-23,-32;16]:[-41,9;16]:[-29,24;15]:[-223,61;18]:[205,113;18]:[-59,50;16]:[19,-5;15]:[43,-73;18]:[109,85;18]:
[0,0;0]:[13,-6;11]:[41,-1;15]:[-39,15;15]:[-23,-23;13]:[-23,8;13]:[21,1;15]:[-29,39;15]:[-15,0;12]:[7,23;14]:[-9,-22;14]:[-35,-10;14]:[7,-7;14]:[1,1;6]:[7,-15;14]:[9,-1;14]:
[0,0;0]:[11,37;17]:[-17,0;13]:[31,-28;14]:[-39,5;17]:[-15,21;13]:[25,12;16]:[-19,7;16]:[55,-17;16]:[-49,-41;15]:[-159,-57;18]:[-43,-53;18]:[-57,-16;16]:[-57,5;15]:[-141,17;18]:[-11,-21;18]:
