[1,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:
[0,0;0]:[0,0;0]:[-1,-1;7]:[-5,-2;9]:[-19,4;10]:[1,-1;8]:[5,2;10]:[-1,-1;8]:[5,0;9]:[3,-4;9]:[5,2;9]:[-1,-1;7]:[1,-2;10]:[-3,0;7]:[-3,-8;10]:[3,1;8]:
[0,0;0]:[9,3;13]:[-5,-6;10]:[5,3;12]:[31,-1;14]:[-15,4;11]:[3,-17;14]:[-3,-4;10]:[35,-17;13]:[9,-3;12]:[-11,-1;13]:[-19,-17;13]:[43,-5;14]:[3,1;10]:[15,7;14]:[9,13;12]:
[0,0;0]:[-15,-12;11]:[1,1;11]:[5,2;13]:[1,10;14]:[-1,1;12]:[25,4;14]:[1,-5;12]:[-15,22;13]:[-3,4;13]:[-11,0;13]:[3,5;10]:[45,-40;14]:[3,0;11]:[1,6;14]:[19,9;12]:
[0,0;0]:[47,-35;14]:[-1,8;12]:[-7,-39;14]:[-21,-24;15]:[-11,-10;13]:[-23,8;15]:[5,-4;12]:[-1,-2;14]:[45,19;14]:[-17,-14;14]:[-25,7;14]:[-15,-20;15]:[11,5;12]:[27,-4;15]:[11,-6;13]:
[0,0;0]:[17,15;14]:[-7,4;12]:[-9,3;14]:[1,16;15]:[35,-18;13]:[-13,32;15]:[11,26;12]:[-3,26;14]:[-13,9;14]:[13,-2;14]:[-15,5;14]:[-37,-4;15]:[5,-1;12]:[17,12;15]:[17,10;13]:
[0,0;0]:[5,0;11]:[1,-1;11]:[-7,4;13]:[29,-12;14]:[7,-5;12]:[29,30;14]:[-7,-11;12]:[13,16;13]:[25,-18;13]:[-7,10;13]:[-7,3;10]:[-15,-6;14]:[-9,6;11]:[13,32;14]:[-5,-13;12]:
[0,0;0]:[-5,5;13]:[-5,0;10]:[-15,5;12]:[17,13;14]:[9,6;11]:[13,9;14]:[-3,-2;10]:[-27,-19;13]:[13,-9;12]:[11,1;13]:[-17,1;13]:[-27,-19;14]:[15,-5;10]:[-15,5;14]:[15,-5;12]:
[0,0;0]:[21,-3;14]:[33,-12;12]:[31,-5;14]:[3,6;15]:[-21,-26;13]:[21,26;15]:[-3,3;12]:[-33,-16;14]:[-5,1;14]:[-1,4;14]:[9,-9;14]:[-11,-2;15]:[-11,-9;12]:[19,-6;15]:[-9,18;13]:
[0,0;0]:[35,7;14]:[-9,-4;12]:[9,-3;14]:[-11,2;15]:[-3,-6;13]:[51,-66;15]:[-17,1;12]:[-7,8;14]:[13,7;14]:[9,28;14]:[31,37;14]:[-45,10;15]:[3,1;12]:[5,14;15]:[9,6;13]:
[0,0;0]:[-7,-5;11]:[3,2;11]:[9,7;13]:[-3,-29;14]:[1,0;12]:[9,-19;14]:[7,0;12]:[-11,-1;13]:[5,1;13]:[61,-3;13]:[-9,0;10]:[5,5;14]:[3,3;11]:[53,-1;14]:[5,-4;12]:
[0,0;0]:[-3,-2;13]:[-1,3;10]:[7,-14;12]:[43,16;14]:[1,-1;11]:[7,8;14]:[1,1;10]:[-1,4;13]:[23,8;12]:[-3,26;13]:[-7,6;13]:[23,20;14]:[1,-2;10]:[27,-40;14]:[5,-8;12]:
[0,0;0]:[31,-10;13]:[3,-5;11]:[-33,18;13]:[-27,-12;14]:[5,7;12]:[31,18;14]:[1,0;9]:[-11,-10;13]:[-9,8;13]:[5,-14;13]:[7,10;13]:[39,26;14]:[1,4;11]:[-11,24;14]:[3,4;12]:
[0,0;0]:[-11,-6;13]:[-15,-11;11]:[13,10;13]:[-13,-2;14]:[7,-15;12]:[25,0;14]:[3,-1;5]:[-13,4;13]:[5,12;13]:[-5,0;13]:[13,-6;13]:[-15,0;14]:[3,0;11]:[-13,-6;14]:[-7,-10;12]:
[0,0;0]:[9,1;11]:[7,6;11]:[29,15;13]:[-23,3;14]:[-3,4;12]:[5,13;14]:[3,-8;12]:[17,-1;13]:[-7,17;13]:[-7,5;13]:[-11,6;10]:[-15,5;14]:[15,3;11]:[-31,-17;14]:[17,-8;12]:
[0,0;0]:[-7,8;13]:[-7,5;10]:[9,6;12]:[-5,-10;14]:[7,9;11]:[-1,-6;14]:[-1,-1;10]:[7,-6;13]:[9,16;12]:[-3,-8;13]:[-19,8;13]:[-1,-10;14]:[-17,-2;10]:[-5,14;14]:[21,-10;12]:
