[1,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:
[0,0;0]:[273,48;23]:[-207,220;23]:[-125,172;22]:[63,-13;19]:[4865,-852;28]:[-615,526;28]:[-1343,-2821;27]:[473,-196;22]:[-1505,-4179;29]:[-1045,2675;29]:[7053,1718;28]:[163,610;22]:[4163,-2393;29]:[-3177,1861;29]:[2653,-2500;28]:
[0,0;0]:[-305,-220;21]:[367,-216;21]:[-67,-104;20]:[-55,-71;17]:[919,80;26]:[-81,-130;26]:[-993,-375;25]:[15,48;20]:[3009,-1489;27]:[-2203,-1911;27]:[-2149,102;26]:[133,82;20]:[4781,-1771;27]:[713,183;27]:[-2661,-336;26]:
[0,0;0]:[271,16;21]:[375,-296;21]:[237,-62;20]:[-57,-41;17]:[-2407,1178;26]:[1961,1692;26]:[1725,-255;25]:[-111,-234;20]:[-413,-129;27]:[-1897,-1059;27]:[333,-172;26]:[163,152;20]:[-1441,-111;27]:[-197,1079;27]:[2181,-294;26]:
[0,0;0]:[-19,-223;20]:[-35,-71;20]:[143,137;19]:[27,-36;16]:[-397,-473;25]:[-953,933;25]:[-563,76;24]:[155,-93;19]:[419,-252;26]:[-149,490;26]:[931,-559;25]:[157,-125;19]:[2155,2174;26]:[859,-1404;26]:[759,1139;25]:
[0,0;0]:[-101,355;21]:[267,-245;21]:[-119,275;20]:[-91,-16;17]:[-731,-387;26]:[-2143,-1457;26]:[195,96;25]:[189,129;20]:[-2803,1216;27]:[-2347,-1702;27]:[1413,-925;26]:[27,25;20]:[-203,-1882;27]:[213,-1792;27]:[993,561;26]:
[0,0;0]:[731,-198;22]:[-69,-50;22]:[-87,242;21]:[-55,19;18]:[3235,1106;27]:[4003,-920;27]:[-761,-1937;26]:[27,-110;21]:[-2087,265;28]:[-603,-3293;28]:[-1409,1048;27]:[-191,-496;21]:[797,-817;28]:[1185,-543;28]:[1367,-662;27]:
[0,0;0]:[703,120;23]:[-33,-308;23]:[-211,364;22]:[161,-107;19]:[1199,1372;28]:[-585,666;28]:[-2465,-1251;27]:[23,76;22]:[321,6715;29]:[-491,5237;29]:[-7165,-1134;28]:[269,278;22]:[-1667,-319;29]:[-5687,3043;29]:[-621,1836;28]:
[0,0;0]:[-235,-64;24]:[1061,516;24]:[543,632;23]:[183,-29;20]:[4953,2896;29]:[-959,-2686;29]:[2577,999;28]:[-175,-152;23]:[8719,3409;30]:[8427,-8681;30]:[6453,-1782;29]:[219,6;23]:[-1885,1771;30]:[-5369,7529;30]:[-4939,1216;29]:
[0,0;0]:[359,-37;22]:[423,-241;22]:[105,-263;21]:[-69,-20;18]:[3799,-1779;27]:[611,-125;27]:[-1275,1470;26]:[135,333;21]:[-1189,1610;28]:[251,848;28]:[1551,-497;27]:[9,-47;21]:[491,1620;28]:[4915,5258;28]:[3147,249;27]:
[0,0;0]:[-77,-256;24]:[323,284;24]:[-311,-104;23]:[-159,-163;20]:[-5681,1496;29]:[1991,-7626;29]:[-7545,1625;28]:[-265,-896;23]:[3865,879;30]:[2429,3833;30]:[3379,270;29]:[-547,98;23]:[-2491,-2171;30]:[2529,1111;30]:[3091,1992;29]:
[0,0;0]:[-329,-406;23]:[231,446;23]:[-363,34;22]:[149,139;19]:[-2297,2310;28]:[-393,4;28]:[-1693,-161;27]:[-497,342;22]:[797,-3463;29]:[-6327,-613;29]:[195,-2940;28]:[589,-204;22]:[257,-3465;29]:[-2363,2705;29]:[6603,1454;28]:
[0,0;0]:[205,-1040;24]:[445,356;24]:[-409,160;23]:[-265,-61;20]:[793,3400;29]:[-1567,6842;29]:[-1567,2271;28]:[337,496;23]:[1983,2041;30]:[10939,-2209;30]:[789,1858;29]:[-709,318;23]:[-4045,-4813;30]:[-5065,-5359;30]:[4149,440;29]:
[0,0;0]:[-623,-39;22]:[113,-235;22]:[111,427;21]:[61,-40;18]:[-1015,-1721;27]:[717,433;27]:[-1101,-234;26]:[57,87;21]:[2029,-3518;28]:[1981,428;28]:[-2207,853;27]:[-25,-37;21]:[-7571,-56;28]:[3925,1698;28]:[1173,-2709;27]:
[0,0;0]:[-1123,200;24]:[-979,-388;24]:[263,-72;23]:[-169,19;20]:[6153,4888;29]:[-5743,-278;29]:[177,3391;28]:[353,-640;23]:[-9809,-2983;30]:[6571,159;30]:[-5691,946;29]:[619,-306;23]:[2211,-2765;30]:[-5081,4593;30]:[3621,-952;29]:
[0,0;0]:[-523,-118;23]:[-1179,-506;23]:[111,-246;22]:[311,-123;19]:[-283,782;28]:[421,-504;28]:[1,-23;27]:[-195,126;22]:[1983,6303;29]:[339,-4107;29]:[3209,1976;28]:[39,16;22]:[1115,-3863;29]:[3447,-1657;29]:[3697,-1258;28]:
