[1,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:
[0,0;0]:[-245,264;21]:[11,-13;13]:[-189,114;21]:[67,-64;19]:[-75,-62;20]:[-211,-25;20]:[19,196;20]:[123,61;20]:[-221,-7;19]:[-321,20;19]:[41,97;19]:[113,38;16]:[91,30;21]:[127,-31;19]:[141,-164;21]:
[0,0;0]:[-645,164;23]:[-55,37;17]:[387,-366;23]:[-297,-328;21]:[-127,42;22]:[-223,277;22]:[-289,336;22]:[71,23;22]:[67,-275;21]:[179,-72;21]:[857,105;21]:[-31,-111;18]:[51,-2;23]:[11,-121;21]:[149,-176;23]:
[0,0;0]:[-69,-14;16]:[33,-7;14]:[19,-41;16]:[11,-9;13]:[47,-9;14]:[33,-18;16]:[-17,-14;12]:[-29,-46;16]:[-11,-7;14]:[1,-10;12]:[-9,18;14]:[45,-2;14]:[21,-45;16]:[-27,-10;15]:[31,-2;16]:
[0,0;0]:[-329,428;23]:[-7,85;17]:[-1,770;23]:[291,-104;21]:[101,394;22]:[-171,-167;22]:[251,-56;22]:[179,-61;22]:[-97,-23;21]:[239,-168;21]:[-179,149;21]:[37,-43;18]:[1423,222;23]:[-505,-77;21]:[185,280;23]:
[0,0;0]:[245,162;21]:[-39,-13;15]:[101,108;21]:[101,-40;19]:[-185,120;20]:[-69,-115;20]:[-399,6;20]:[221,-209;20]:[-19,65;19]:[105,76;19]:[111,97;19]:[-41,48;16]:[-203,224;21]:[137,75;19]:[155,362;21]:
[0,0;0]:[-117,-126;19]:[3,1;8]:[-37,-12;19]:[71,-48;17]:[-179,-8;18]:[-247,-51;18]:[-13,-90;18]:[-65,143;18]:[-13,27;17]:[-13,32;17]:[17,-25;17]:[-19,1;14]:[-77,112;19]:[-29,55;17]:[-19,-46;19]:
[0,0;0]:[37,6;15]:[-7,-7;14]:[0,0;0]:[-125,1;17]:[-7,0;14]:[25,-31;15]:[7,-20;13]:[5,-4;15]:[-35,-28;16]:[-123,-55;17]:[-13,-60;16]:[1,-66;16]:[7,0;14]:[-25,31;15]:[-17,41;15]:
[0,0;0]:[217,210;21]:[35,21;15]:[-471,-340;21]:[109,-74;19]:[-93,-144;20]:[239,-31;20]:[-187,94;20]:[-327,179;20]:[85,37;19]:[33,-34;19]:[-9,53;19]:[-1,9;16]:[329,112;21]:[101,-101;19]:[-249,330;21]:
[0,0;0]:[743,76;23]:[61,-47;17]:[-145,306;23]:[-189,-248;21]:[-443,378;22]:[117,-319;22]:[-197,-88;22]:[-365,-325;22]:[431,-263;21]:[-49,216;21]:[61,-139;21]:[85,-7;18]:[543,78;23]:[-25,91;21]:[-983,-648;23]:
[0,0;0]:[-79,112;21]:[-1,0;7]:[-455,246;21]:[-79,56;19]:[-57,-138;20]:[-385,-63;20]:[193,132;20]:[-327,-165;20]:[201,-125;19]:[37,-4;19]:[-69,35;19]:[-45,20;16]:[-399,-6;21]:[-59,-145;19]:[199,92;21]:
[0,0;0]:[-181,204;22]:[-55,37;16]:[435,-294;22]:[319,228;20]:[-31,18;21]:[97,-107;21]:[95,-88;21]:[-217,-153;21]:[91,-155;20]:[-453,76;20]:[-31,257;20]:[-79,-37;17]:[99,70;22]:[107,79;20]:[-315,-216;22]:
[0,0;0]:[-149,-182;20]:[1,5;11]:[43,-4;20]:[45,-93;18]:[185,-92;19]:[-71,103;19]:[71,114;19]:[-89,-143;19]:[45,-33;18]:[-39,33;18]:[-9,-33;18]:[57,-33;16]:[371,-56;20]:[67,163;18]:[93,122;20]:
[0,0;0]:[501,140;22]:[27,87;16]:[-275,174;22]:[-135,112;20]:[127,150;21]:[95,-205;21]:[-255,256;21]:[-135,161;21]:[-291,-77;20]:[29,144;20]:[71,-57;20]:[-49,23;17]:[-163,-510;22]:[53,145;20]:[411,-256;22]:
[0,0;0]:[63,-80;20]:[-35,-3;14]:[-361,-154;20]:[-37,28;18]:[157,214;19]:[-235,-11;19]:[147,-36;19]:[83,7;19]:[-33,37;18]:[-57,60;18]:[61,-55;18]:[-11,-3;15]:[231,-94;20]:[135,-73;18]:[-207,116;20]:
[0,0;0]:[-713,724;23]:[73,13;17]:[159,234;23]:[-349,64;21]:[261,130;22]:[69,-239;22]:[187,-48;22]:[3,75;22]:[463,401;21]:[-401,-160;21]:[445,-115;21]:[-43,29;18]:[-401,-186;23]:[-169,219;21]:[-519,368;23]:
