[1,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:
[0,0;0]:[-499,213;21]:[9,-12;17]:[141,-69;23]:[-191,-160;22]:[117,-147;23]:[659,-336;21]:[-21,-87;21]:[-185,29;23]:[117,96;22]:[-209,-220;22]:[331,310;20]:[-367,-484;22]:[9,-6;20]:[-127,37;23]:[7,-17;18]:
[0,0;0]:[19,-36;21]:[37,-28;19]:[-135,106;23]:[-429,-279;22]:[317,-200;23]:[41,-129;21]:[181,-146;21]:[-37,-94;23]:[47,-195;22]:[1317,339;22]:[333,-139;20]:[-741,365;22]:[7,7;20]:[-135,-132;23]:[5,-7;19]:
[0,0;0]:[-695,-234;21]:[-9,-46;19]:[435,-140;23]:[-75,93;22]:[39,-170;23]:[287,291;21]:[103,-72;21]:[345,168;23]:[-135,65;22]:[-765,615;22]:[19,-99;20]:[-323,345;22]:[57,15;20]:[-501,-246;23]:[99,81;19]:
[0,0;0]:[83,6;18]:[-67,44;15]:[27,-82;20]:[13,37;19]:[-169,244;20]:[99,39;18]:[89,32;18]:[-359,-250;20]:[113,-55;19]:[11,15;19]:[-21,37;17]:[-11,49;19]:[-1,59;17]:[3,32;20]:[27,22;14]:
[0,0;0]:[-123,-89;20]:[15,25;18]:[-829,-609;22]:[615,-462;21]:[155,37;22]:[-51,-46;20]:[-9,-25;20]:[-191,73;22]:[83,90;21]:[-39,42;21]:[-75,32;19]:[-153,86;21]:[-241,-40;19]:[231,-3;22]:[97,-20;18]:
[0,0;0]:[-159,88;22]:[-191,-139;18]:[-539,-358;24]:[227,-155;23]:[-1007,-664;24]:[-215,47;22]:[355,106;22]:[743,-686;24]:[-1,-23;23]:[149,-105;23]:[-35,25;21]:[43,-23;23]:[183,51;21]:[-1595,1292;24]:[-133,2;19]:
[0,0;0]:[15,58;22]:[7,-3;18]:[323,256;24]:[-47,-287;23]:[-305,-150;24]:[-109,99;22]:[-171,172;22]:[-1439,940;24]:[1349,917;23]:[167,19;23]:[-153,-159;21]:[-359,-19;23]:[69,-85;21]:[-917,558;24]:[189,-128;19]:
[0,0;0]:[43,-3;21]:[11,20;14]:[175,231;23]:[311,-186;22]:[-1297,-563;23]:[13,-38;21]:[125,77;21]:[-51,-359;23]:[-29,-194;22]:[-55,22;22]:[5,28;20]:[-9,42;22]:[211,-492;20]:[179,-259;23]:[65,22;18]:
[0,0;0]:[63,23;16]:[-11,16;14]:[-71,-51;18]:[-15,42;17]:[41,-33;18]:[51,22;16]:[13,7;16]:[35,3;18]:[37,-14;17]:[15,-6;17]:[-61,52;15]:[-79,70;17]:[1,-6;15]:[-195,-129;18]:[-25,-9;14]:
[0,0;0]:[729,-133;21]:[-37,-30;18]:[117,-317;23]:[-7,-18;22]:[-75,-335;23]:[287,-286;21]:[-673,-45;21]:[479,261;23]:[-51,38;22]:[-217,134;22]:[91,-48;20]:[-39,-6;22]:[99,36;20]:[-479,105;23]:[63,70;16]:
[0,0;0]:[217,-239;21]:[55,-44;18]:[213,-31;23]:[725,464;22]:[-179,71;23]:[35,-128;21]:[535,-443;21]:[-81,271;23]:[217,240;22]:[219,308;22]:[231,174;20]:[549,76;22]:[-1,-22;20]:[9,215;23]:[15,-14;16]:
[0,0;0]:[91,22;20]:[-89,-71;17]:[303,194;22]:[173,-119;21]:[403,224;22]:[59,7;20]:[-47,16;20]:[501,-414;22]:[-47,-3;21]:[-21,11;21]:[27,-15;19]:[21,-11;21]:[-333,-119;19]:[-17,-132;22]:[79,-42;15]:
[0,0;0]:[87,40;18]:[35,-16;16]:[-127,30;20]:[-69,-27;19]:[-91,12;20]:[177,107;18]:[41,18;18]:[195,126;20]:[-329,233;19]:[93,-9;19]:[-11,25;17]:[-29,73;19]:[-9,-21;17]:[273,192;20]:[-9,-3;16]:
[0,0;0]:[-69,-36;22]:[19,-23;16]:[1643,-1186;24]:[93,15;23]:[431,-760;24]:[79,365;22]:[-695,-574;22]:[-903,-618;24]:[-191,91;23]:[459,-235;23]:[-141,-29;21]:[245,-21;23]:[45,-75;21]:[363,36;24]:[-117,-93;19]:
[0,0;0]:[-189,58;22]:[-63,43;16]:[907,-596;24]:[-767,-519;23]:[-1353,974;24]:[-37,-133;22]:[-167,60;22]:[9,-112;24]:[53,205;23]:[-73,-357;23]:[311,73;21]:[777,997;23]:[-7,15;21]:[-125,-158;24]:[-17,5;19]:
