[1,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:
[0,0;0]:[1,0;4]:[-3,0;7]:[1,0;6]:[-1,2;8]:[1,0;8]:[0,0;0]:[-1,0;6]:[0,0;0]:[-1,0;5]:[-1,2;6]:[1,6;7]:[-1,2;8]:[-1,0;8]:[0,0;0]:[1,0;6]:
[0,0;0]:[1,0;2]:[3,0;5]:[-1,0;4]:[-1,0;6]:[-1,0;6]:[0,0;0]:[-1,0;4]:[0,0;0]:[1,0;3]:[-1,0;4]:[1,0;5]:[-1,0;6]:[1,0;6]:[0,0;0]:[1,0;4]:
[0,0;0]:[1,0;4]:[3,2;7]:[-1,2;6]:[3,0;8]:[-1,2;8]:[0,0;0]:[-1,0;6]:[0,0;0]:[-3,0;5]:[3,0;6]:[-3,0;7]:[3,0;8]:[1,-2;8]:[0,0;0]:[1,0;6]:
[0,0;0]:[-1,1;8]:[0,0;0]:[1,0;5]:[-3,1;7]:[-3,-1;6]:[-7,-4;9]:[-1,2;9]:[1,3;8]:[0,0;0]:[-1,0;6]:[0,0;0]:[3,1;7]:[-3,1;6]:[-5,2;9]:[-5,4;9]:
[0,0;0]:[-1,0;5]:[0,0;0]:[1,0;3]:[0,0;0]:[1,-1;4]:[3,-1;6]:[1,-1;6]:[1,0;5]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[1,1;4]:[-3,-1;6]:[1,1;6]:
[0,0;0]:[3,1;8]:[0,0;0]:[1,0;5]:[-3,-3;7]:[1,-1;6]:[5,-4;9]:[-1,2;9]:[1,-1;8]:[0,0;0]:[3,0;6]:[0,0;0]:[3,-3;7]:[1,1;6]:[-1,2;9]:[-5,-4;9]:
[0,0;0]:[-3,0;6]:[0,0;0]:[0,0;0]:[-1,-1;5]:[0,0;0]:[-3,1;7]:[3,-3;7]:[-1,0;6]:[0,0;0]:[1,0;4]:[0,0;0]:[1,-1;5]:[0,0;0]:[3,1;7]:[3,3;7]:
[0,0;0]:[-1,1;7]:[0,0;0]:[1,0;4]:[1,1;6]:[1,-1;5]:[1,0;8]:[3,-2;8]:[5,-1;7]:[0,0;0]:[-1,0;5]:[0,0;0]:[-1,1;6]:[1,1;5]:[3,6;8]:[-1,0;8]:
[0,0;0]:[0,0;0]:[-1,2;7]:[-1,2;6]:[-1,0;8]:[3,6;8]:[-1,-1;5]:[1,1;6]:[1,0;4]:[1,0;5]:[-1,0;6]:[1,0;7]:[-1,0;8]:[-3,2;8]:[1,-1;5]:[-1,1;6]:
[0,0;0]:[-1,1;7]:[-1,0;5]:[0,0;0]:[1,-1;5]:[1,1;6]:[1,0;8]:[-5,-2;8]:[1,-1;7]:[1,0;3]:[-1,1;5]:[-1,0;5]:[1,2;5]:[-1,1;6]:[3,-2;8]:[-1,0;8]:
[0,0;0]:[1,-1;5]:[3,0;7]:[-1,0;6]:[-3,2;8]:[-1,0;8]:[1,1;6]:[1,2;5]:[-1,0;5]:[1,0;5]:[1,0;6]:[-1,2;7]:[5,2;8]:[1,0;8]:[-1,1;6]:[-1,1;5]:
[0,0;0]:[1,-1;8]:[0,0;0]:[-1,0;5]:[-1,-1;7]:[-1,1;6]:[-1,8;9]:[-3,2;9]:[11,1;8]:[0,0;0]:[1,0;6]:[0,0;0]:[1,-1;7]:[-1,-1;6]:[-3,2;9]:[1,0;9]:
[0,0;0]:[-1,0;5]:[-1,2;6]:[1,2;5]:[-1,0;7]:[-1,0;7]:[1,1;6]:[-1,0;6]:[-1,0;5]:[1,0;4]:[-1,0;5]:[1,0;6]:[-1,0;7]:[1,-4;7]:[-1,1;6]:[-1,0;6]:
[0,0;0]:[1,3;8]:[-1,0;4]:[1,0;5]:[5,-1;7]:[-1,0;6]:[-1,0;9]:[1,2;9]:[-1,1;8]:[1,0;2]:[1,2;6]:[-1,0;4]:[-1,-1;7]:[-1,0;6]:[-3,2;9]:[5,0;9]:
[0,0;0]:[-1,-2;6]:[3,0;6]:[-1,0;5]:[3,0;7]:[-1,0;7]:[-1,-1;7]:[-1,-1;7]:[1,0;6]:[1,0;4]:[1,1;5]:[-1,2;6]:[-1,0;7]:[1,0;7]:[1,-1;7]:[-5,1;7]:
