[1,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:
[0,0;0]:[549,-227;22]:[623,-501;22]:[15,209;19]:[7,-3;14]:[-343,-233;22]:[21,35;22]:[61,21;20]:[385,289;22]:[-19,-20;22]:[-147,54;22]:[185,-127;22]:[31,19;22]:[901,184;22]:[437,338;22]:[-423,149;22]:
[0,0;0]:[-145,26;20]:[309,-126;20]:[33,-88;17]:[1,3;13]:[135,376;20]:[139,16;20]:[23,-86;18]:[-29,-66;20]:[269,-159;20]:[17,11;20]:[-101,70;20]:[37,-66;20]:[237,261;20]:[33,47;20]:[-93,-78;20]:
[0,0;0]:[-311,116;20]:[131,-72;20]:[-113,10;17]:[-9,3;12]:[169,38;20]:[5,214;20]:[65,-76;18]:[229,324;20]:[-65,57;20]:[147,-73;20]:[-179,124;20]:[-29,8;20]:[-65,-203;20]:[259,83;20]:[213,8;20]:
[0,0;0]:[5,-164;20]:[-65,-56;20]:[55,-18;17]:[11,-6;12]:[61,6;20]:[-207,110;20]:[33,12;18]:[269,-176;20]:[51,113;20]:[127,39;20]:[389,352;20]:[219,44;20]:[115,-99;20]:[239,-173;20]:[109,-132;20]:
[0,0;0]:[61,71;19]:[103,25;19]:[47,23;16]:[-5,15;14]:[41,177;19]:[-267,-75;19]:[-11,15;17]:[173,81;19]:[-155,46;19]:[-139,88;19]:[-75,105;19]:[-325,111;19]:[-43,34;19]:[-155,-52;19]:[45,65;19]:
[0,0;0]:[53,310;23]:[-105,94;23]:[-69,-64;20]:[11,-36;15]:[349,-32;23]:[-1271,-248;23]:[333,-154;21]:[-703,22;23]:[279,-173;23]:[-397,577;23]:[745,-482;23]:[-233,-122;23]:[-217,-225;23]:[755,781;23]:[129,-422;23]:
[0,0;0]:[71,48;23]:[205,340;23]:[305,242;20]:[1,-18;15]:[1079,-162;23]:[347,478;23]:[-337,80;21]:[-501,-200;23]:[553,-845;23]:[-411,37;23]:[-541,512;23]:[-51,172;23]:[-151,-521;23]:[245,265;23]:[-261,68;23]:
[0,0;0]:[257,108;20]:[51,56;20]:[-21,-2;17]:[23,-6;12]:[-7,-34;20]:[221,-138;20]:[-35,-76;18]:[-119,72;20]:[-57,-115;20]:[579,59;20]:[1,-40;20]:[-1,324;20]:[7,9;20]:[115,-73;20]:[137,4;20]:
[0,0;0]:[43,-6;17]:[73,66;17]:[5,-8;14]:[5,-27;14]:[-61,64;17]:[-41,40;17]:[19,58;15]:[-87,39;17]:[91,7;17]:[3,-19;17]:[25,-37;17]:[27,71;17]:[71,-17;17]:[55,-35;17]:[101,29;17]:
[0,0;0]:[959,208;23]:[-203,148;23]:[25,-126;20]:[25,30;15]:[367,-18;23]:[-269,430;23]:[519,-16;21]:[-125,376;23]:[-15,11;23]:[-307,-371;23]:[-101,64;23]:[277,268;23]:[-719,111;23]:[477,-367;23]:[-1677,36;23]:
[0,0;0]:[-293,-294;23]:[1625,210;23]:[85,-16;20]:[5,24;15]:[307,-688;23]:[-249,40;23]:[-349,42;21]:[47,122;23]:[569,461;23]:[285,127;23]:[135,-206;23]:[-391,-22;23]:[-983,449;23]:[157,-141;23]:[-17,-650;23]:
[0,0;0]:[-587,-395;22]:[-225,-45;22]:[63,57;19]:[-21,27;14]:[345,15;22]:[-59,-133;22]:[365,45;20]:[593,-343;22]:[45,-348;22]:[397,238;22]:[-119,-439;22]:[-305,491;22]:[69,-144;22]:[-43,10;22]:[-215,-131;22]:
[0,0;0]:[21,-20;17]:[47,24;17]:[7,-18;14]:[5,1;8]:[13,-42;17]:[129,-34;17]:[49,12;15]:[-75,8;17]:[-109,-23;17]:[-65,79;17]:[13,56;17]:[-93,-60;17]:[51,-27;17]:[79,-21;17]:[69,4;17]:
[0,0;0]:[199,-53;18]:[-11,5;18]:[21,-13;15]:[-11,-5;10]:[19,-15;18]:[23,77;18]:[55,-1;16]:[-5,51;18]:[-17,16;18]:[175,38;18]:[-45,51;18]:[-91,-55;18]:[23,-12;18]:[-217,58;18]:[-13,-113;18]:
[0,0;0]:[49,-134;19]:[67,138;19]:[-101,28;16]:[-9,-4;11]:[-159,20;19]:[-43,-52;19]:[13,-34;17]:[65,18;19]:[-133,-225;19]:[-161,-3;19]:[-23,98;19]:[119,42;19]:[-117,123;19]:[31,-71;19]:[33,-130;19]:
