[1,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:
[0,0;0]:[137,-302;21]:[-205,-61;20]:[-287,-8;22]:[-89,49;22]:[-1073,-819;24]:[19,503;24]:[457,498;23]:[159,180;22]:[-81,77;24]:[1423,-641;24]:[145,-626;23]:[461,369;22]:[-47,5;23]:[585,-515;23]:[463,-160;22]:
[0,0;0]:[-73,82;19]:[23,41;18]:[-199,-14;20]:[87,198;20]:[-5,11;22]:[-109,-259;22]:[-77,-120;21]:[267,161;20]:[-165,-53;22]:[871,-235;22]:[331,-68;21]:[63,43;20]:[397,183;21]:[-643,83;21]:[-251,74;20]:
[0,0;0]:[181,162;21]:[-97,23;20]:[181,96;22]:[587,-735;22]:[267,9;24]:[-561,-437;24]:[-331,-262;23]:[595,352;22]:[107,137;24]:[-421,-45;24]:[413,-666;23]:[-151,229;22]:[-715,-79;23]:[-51,25;23]:[387,480;22]:
[0,0;0]:[411,304;21]:[29,-115;20]:[-465,-248;22]:[47,-21;22]:[2081,-957;24]:[301,653;24]:[687,-156;23]:[423,40;22]:[-191,-189;24]:[225,221;24]:[-201,-280;23]:[131,-299;22]:[-65,-309;23]:[287,275;23]:[-247,-302;22]:
[0,0;0]:[-177,-32;22]:[137,81;21]:[-477,-224;23]:[-493,-969;23]:[29,-145;25]:[-7,-255;25]:[-189,52;24]:[-37,240;23]:[701,-657;25]:[-99,-1423;25]:[-1301,296;24]:[55,-103;23]:[291,1223;24]:[-541,639;24]:[533,-662;23]:
[0,0;0]:[-151,32;20]:[11,151;19]:[49,-60;21]:[-135,223;21]:[759,337;23]:[323,39;23]:[-227,-48;22]:[-183,18;21]:[215,721;23]:[-321,439;23]:[-75,-644;22]:[289,271;21]:[-167,97;22]:[-295,193;22]:[331,-310;21]:
[0,0;0]:[713,-584;22]:[95,-73;21]:[149,-704;23]:[269,281;23]:[-789,-567;25]:[-689,-105;25]:[37,132;24]:[69,72;23]:[1867,1481;25]:[-565,-249;25]:[-131,-272;24]:[-719,-489;23]:[-171,-15;24]:[-1163,569;24]:[-125,110;23]:
[0,0;0]:[65,20;21]:[-97,127;20]:[709,168;22]:[-191,-247;22]:[459,-815;24]:[911,-537;24]:[-731,552;23]:[-279,328;22]:[555,209;24]:[1515,839;24]:[-355,-44;23]:[-239,-205;22]:[789,-55;23]:[421,97;23]:[-221,58;22]:
[0,0;0]:[311,228;22]:[337,-31;21]:[-469,-120;23]:[567,-21;23]:[-219,-81;25]:[657,185;25]:[-221,344;24]:[-49,-612;23]:[-1851,943;25]:[469,-39;25]:[-533,204;24]:[-569,309;23]:[1723,-105;24]:[75,383;24]:[1365,422;23]:
[0,0;0]:[-61,0;20]:[289,69;19]:[19,12;21]:[-29,-87;21]:[-27,435;23]:[57,-59;23]:[415,696;22]:[339,2;21]:[901,-461;23]:[-179,117;23]:[679,-36;22]:[187,-139;21]:[267,-413;22]:[-117,51;22]:[249,-74;21]:
[0,0;0]:[649,-124;22]:[31,415;21]:[-1147,456;23]:[-207,-219;23]:[-1461,-911;25]:[1439,-585;25]:[-307,-864;24]:[-7,-188;23]:[683,113;25]:[-421,567;25]:[581,620;24]:[457,227;23]:[-235,-599;24]:[-27,289;24]:[-133,-158;23]:
[0,0;0]:[19,56;19]:[-279,25;18]:[179,-184;20]:[-49,-111;20]:[157,279;22]:[-175,225;22]:[263,-144;21]:[103,-86;20]:[573,279;22]:[165,-47;22]:[271,340;21]:[139,85;20]:[451,-65;21]:[19,47;21]:[97,-18;20]:
[0,0;0]:[167,112;20]:[-45,25;19]:[101,22;21]:[-383,-6;21]:[311,-253;23]:[383,113;23]:[-137,218;22]:[253,-407;21]:[535,-317;23]:[19,17;23]:[-161,-34;22]:[-445,249;21]:[-287,151;22]:[-823,-637;22]:[-31,24;21]:
[0,0;0]:[247,166;20]:[-71,53;19]:[203,132;21]:[149,41;21]:[-291,-109;23]:[-767,-591;23]:[-97,474;22]:[197,-374;21]:[-387,403;23]:[-283,-247;23]:[-169,-34;22]:[619,-177;21]:[-141,307;22]:[139,67;22]:[-247,-84;21]:
[0,0;0]:[67,44;20]:[103,-35;19]:[609,38;21]:[169,130;21]:[-293,-33;23]:[1859,-163;23]:[347,-330;22]:[325,69;21]:[59,159;23]:[-473,-627;23]:[131,-22;22]:[55,-39;21]:[125,243;22]:[245,-113;22]:[29,-92;21]:
