[1,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:
[0,0;0]:[-13,135;20]:[171,-106;18]:[7,147;20]:[-65,-39;18]:[-135,188;19]:[-59,85;19]:[-143,16;19]:[19,-63;19]:[-107,-109;18]:[-121,-81;18]:[97,117;18]:[-5,-31;16]:[101,-45;20]:[19,10;16]:[-81,17;20]:
[0,0;0]:[-257,-172;23]:[-75,-175;21]:[-1165,-52;23]:[-281,-2;21]:[-5,-631;22]:[-223,-224;22]:[331,221;22]:[115,-86;22]:[-43,138;21]:[-309,-72;21]:[45,76;21]:[-181,-54;19]:[1373,-478;23]:[117,-7;19]:[-185,-226;23]:
[0,0;0]:[-159,306;23]:[-49,193;21]:[269,66;23]:[-63,-168;21]:[393,-27;22]:[-241,250;22]:[-567,113;22]:[357,-540;22]:[387,312;21]:[-91,-154;21]:[19,-186;21]:[-243,-108;19]:[-453,-240;23]:[-17,41;19]:[-543,664;23]:
[0,0;0]:[729,285;22]:[121,106;20]:[-587,-111;22]:[-195,107;20]:[163,140;21]:[63,31;21]:[299,232;21]:[-199,-125;21]:[-105,49;20]:[389,-307;20]:[-165,55;20]:[-15,19;18]:[-65,145;22]:[-39,-102;18]:[-291,-21;22]:
[0,0;0]:[91,-35;19]:[63,0;17]:[-49,-63;19]:[55,43;17]:[-75,-94;18]:[-51,31;18]:[13,-58;18]:[3,-225;18]:[-23,-43;17]:[-9,9;17]:[-43,15;17]:[-17,17;15]:[-219,-11;19]:[39,8;15]:[239,-89;19]:
[0,0;0]:[-201,32;22]:[165,29;20]:[-117,-24;22]:[-305,-270;20]:[-245,-35;21]:[73,-92;21]:[667,-367;21]:[123,-90;21]:[69,38;20]:[99,44;20]:[189,88;20]:[51,98;18]:[-331,-298;22]:[-43,5;18]:[-241,442;22]:
[0,0;0]:[-441,-42;22]:[409,-113;20]:[-5,102;22]:[199,56;20]:[351,-341;21]:[9,-178;21]:[127,191;21]:[67,260;21]:[-19,-152;20]:[-93,-102;20]:[-51,42;20]:[-85,-32;18]:[-739,-8;22]:[-151,-57;18]:[167,320;22]:
[0,0;0]:[417,15;22]:[-35,56;20]:[-195,-229;22]:[221,-163;20]:[-105,14;21]:[103,269;21]:[-49,42;21]:[201,381;21]:[-9,-105;20]:[29,71;20]:[-333,157;20]:[-175,61;18]:[-321,-425;22]:[125,40;18]:[-515,-99;22]:
[0,0;0]:[-487,29;23]:[-391,-150;21]:[245,529;23]:[-67,139;21]:[-157,76;22]:[767,31;22]:[363,424;22]:[-263,-253;22]:[183,-47;21]:[-123,237;21]:[187,87;21]:[-79,3;19]:[-769,17;23]:[217,-198;19]:[-611,-21;23]:
[0,0;0]:[1701,-658;24]:[-173,-399;22]:[321,334;24]:[-171,-244;22]:[-363,77;23]:[811,-450;23]:[-75,457;23]:[297,-152;23]:[-161,-140;22]:[-423,-286;22]:[-321,-614;22]:[17,160;20]:[-41,-180;24]:[-45,113;20]:[309,588;24]:
[0,0;0]:[1617,672;24]:[-669,-117;22]:[-1443,1272;24]:[249,22;22]:[-291,-197;23]:[-785,-100;23]:[-19,-153;23]:[141,202;23]:[459,-174;22]:[165,204;22]:[387,144;22]:[-11,-78;20]:[-573,122;24]:[-157,43;20]:[601,342;24]:
[0,0;0]:[-525,357;22]:[-41,128;20]:[-249,41;22]:[103,-1;20]:[5,178;21]:[549,-113;21]:[173,262;21]:[203,-49;21]:[37,13;20]:[135,-3;20]:[-39,159;20]:[-77,23;18]:[333,141;22]:[23,144;18]:[935,239;22]:
[0,0;0]:[-199,-123;23]:[-119,-126;21]:[-491,-39;23]:[637,-301;21]:[627,372;22]:[-353,-457;22]:[187,80;22]:[57,-117;22]:[-169,201;21]:[37,-171;21]:[123,15;21]:[209,-37;19]:[-513,-375;23]:[233,-14;19]:[29,-173;23]:
[0,0;0]:[55,-566;24]:[-399,-117;22]:[-405,-406;24]:[-441,-140;22]:[519,159;23]:[185,-262;23]:[-153,-141;23]:[99,-408;23]:[-427,-308;22]:[243,486;22]:[-843,302;22]:[91,-336;20]:[-99,-12;24]:[-143,-5;20]:[-153,660;24]:
[0,0;0]:[-189,-144;24]:[-295,-287;22]:[-1497,-392;24]:[59,146;22]:[-25,145;23]:[509,548;23]:[-489,-299;23]:[-73,110;23]:[-655,678;22]:[-641,20;22]:[89,192;22]:[-17,134;20]:[-839,382;24]:[-231,-47;20]:[347,370;24]:
