[1,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:
[0,0;0]:[1387,-1071;25]:[21,-314;24]:[-161,-1205;26]:[-19,1933;26]:[513,935;25]:[479,189;24]:[465,-657;24]:[-331,695;25]:[1879,803;26]:[-459,-34;22]:[-827,899;25]:[953,1177;24]:[-195,-28;20]:[-1691,901;26]:[-287,334;24]:
[0,0;0]:[-205,-7;21]:[233,-254;20]:[93,136;20]:[-5,85;19]:[-95,-119;18]:[-61,-54;20]:[-23,-225;20]:[-197,-22;19]:[-35,132;20]:[-17,-3;15]:[-67,75;21]:[77,154;20]:[227,68;19]:[-69,21;19]:[397,-126;20]:
[0,0;0]:[-61,18;16]:[47,37;17]:[725,-375;23]:[393,653;23]:[-203,187;22]:[207,-132;20]:[-19,11;15]:[-329,245;22]:[-595,-999;23]:[-123,-54;19]:[-11,-48;16]:[-69,108;20]:[73,-120;20]:[-447,149;23]:[57,-5;17]:
[0,0;0]:[-2019,-572;26]:[-1455,195;25]:[-1055,2046;27]:[515,-330;27]:[-2233,1040;26]:[1051,972;25]:[1679,184;25]:[331,-2196;26]:[-799,278;27]:[-171,284;23]:[-421,448;26]:[941,-478;25]:[-393,21;21]:[1571,3406;27]:[813,87;25]:
[0,0;0]:[-139,-378;22]:[429,293;21]:[-81,452;23]:[-839,16;23]:[221,-210;22]:[203,-128;21]:[71,-162;21]:[-83,-54;22]:[783,-356;23]:[-97,26;19]:[787,46;22]:[213,-142;21]:[-21,-112;18]:[25,-552;23]:[297,-15;21]:
[0,0;0]:[-1045,114;26]:[667,499;25]:[1607,-392;27]:[757,1164;27]:[-671,242;26]:[-143,14;25]:[-263,218;25]:[877,-738;26]:[2455,1776;27]:[-389,1180;23]:[-2547,-1926;26]:[-1641,772;25]:[-143,-83;21]:[1253,-2044;27]:[527,263;25]:
[0,0;0]:[1485,-364;25]:[289,739;24]:[1745,366;26]:[2483,-986;26]:[-1081,-448;25]:[-509,-460;24]:[1503,424;24]:[331,892;25]:[-15,838;26]:[-323,64;22]:[1835,-1104;25]:[405,490;24]:[95,-67;20]:[115,1406;26]:[-323,-649;24]:
[0,0;0]:[-3299,-1658;26]:[-547,-67;25]:[-207,-3104;27]:[-621,924;27]:[-585,-106;26]:[543,-1366;25]:[863,302;25]:[-117,842;26]:[-3327,1480;27]:[141,488;23]:[-21,622;26]:[1897,-812;25]:[223,-5;21]:[67,-1532;27]:[-631,-407;25]:
[0,0;0]:[339,-108;22]:[-465,133;21]:[-193,58;23]:[-67,-398;23]:[-359,-200;22]:[-43,-84;21]:[-383,80;21]:[-715,60;22]:[-449,34;23]:[11,-20;19]:[-395,-24;22]:[67,166;21]:[-191,-1;17]:[157,-422;23]:[-301,-303;21]:
[0,0;0]:[1565,-476;26]:[-367,-605;25]:[1505,-1442;27]:[5635,982;27]:[-1465,-208;26]:[-1445,492;25]:[911,-296;25]:[331,-756;26]:[2017,-394;27]:[85,-100;23]:[859,1632;26]:[-403,-1534;25]:[-265,-139;21]:[1827,-2706;27]:[-403,439;25]:
[0,0;0]:[337,-774;25]:[-679,-3;24]:[701,-140;26]:[-89,-248;26]:[-749,-990;25]:[295,230;24]:[-1317,-166;24]:[2551,1190;25]:[733,-788;26]:[-55,82;22]:[-1161,746;25]:[73,-240;24]:[79,-213;20]:[359,960;26]:[1557,-791;24]:
[0,0;0]:[-151,649;24]:[-197,-440;23]:[-623,111;25]:[715,-1639;25]:[51,-481;24]:[47,-481;23]:[491,495;23]:[-385,527;24]:[705,-921;25]:[-303,169;21]:[-713,259;24]:[501,47;23]:[-67,-40;19]:[-1381,-207;25]:[559,872;23]:
[0,0;0]:[-125,-10;18]:[-51,-8;15]:[1367,199;23]:[75,-157;23]:[855,-307;22]:[93,44;20]:[97,-20;17]:[389,-45;22]:[15,215;23]:[-85,-96;19]:[-59,-6;18]:[-7,-96;20]:[199,-104;20]:[-797,-261;23]:[-21,-5;14]:
[0,0;0]:[167,174;22]:[-41,-61;21]:[1093,60;23]:[379,4;23]:[-211,366;22]:[-267,262;20]:[-107,22;21]:[321,-146;22]:[33,-588;23]:[171,364;20]:[353,158;22]:[259,45;20]:[19,-16;16]:[-281,-132;23]:[-5,-25;21]:
[0,0;0]:[-1385,273;25]:[-1295,426;24]:[643,947;26]:[-311,165;26]:[677,1143;25]:[-1409,-1055;24]:[533,-993;24]:[-1047,615;25]:[1067,-757;26]:[141,-116;22]:[-391,243;25]:[-495,293;24]:[77,-192;20]:[2353,413;26]:[333,98;24]:
