[1,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:[0,0;0]:
[0,0;0]:[331,1416;26]:[4783,2683;28]:[1625,-1501;27]:[-2361,774;26]:[69,-251;27]:[2025,-1523;27]:[-2813,-1477;28]:[2247,555;27]:[27,2503;28]:[-1761,667;25]:[-2891,-223;27]:[1265,-2487;28]:[3405,1215;27]:[183,-1179;25]:[-645,-324;25]:
[0,0;0]:[5875,1309;28]:[-2009,-2358;30]:[-4731,784;29]:[585,1763;28]:[-5227,4226;29]:[1109,-1994;29]:[-4413,7166;30]:[2263,-5334;29]:[-5325,914;30]:[-1537,-1073;27]:[-3391,822;29]:[-327,2842;30]:[-6055,-680;29]:[-3207,-1092;27]:[-1439,-2961;27]:
[0,0;0]:[-2719,891;27]:[5123,2052;29]:[-2655,-5362;28]:[121,677;27]:[-839,1408;28]:[-7195,292;28]:[-3393,-1592;29]:[-1941,-548;28]:[-4833,2596;29]:[207,-1096;26]:[-3535,1564;28]:[-4539,4056;29]:[-1643,-2170;28]:[1351,318;26]:[473,707;26]:
[0,0;0]:[1467,-838;26]:[-979,469;28]:[2619,-1843;27]:[781,1720;26]:[-2865,699;27]:[-1041,-1529;27]:[3977,-203;28]:[1389,2121;27]:[5713,-1159;28]:[1687,538;25]:[-4269,-89;27]:[2491,1511;28]:[-1881,441;27]:[-893,-117;25]:[199,662;25]:
[0,0;0]:[2677,587;27]:[-2087,2266;29]:[-4213,-2084;28]:[-509,-1291;27]:[1035,3466;28]:[2971,1854;28]:[-3027,6870;29]:[-943,4354;28]:[2317,1154;29]:[1093,961;26]:[951,1078;28]:[-89,-1822;29]:[1687,-3084;28]:[1387,352;26]:[-2165,1023;26]:
[0,0;0]:[923,-2445;27]:[-5947,-2570;29]:[-337,768;28]:[-3365,1857;27]:[4687,3886;28]:[-4813,-510;28]:[-103,-1254;29]:[1213,398;28]:[5769,2718;29]:[-831,-742;26]:[2471,-2798;28]:[-3581,1630;29]:[1723,-96;28]:[1817,-1636;26]:[3,-493;26]:
[0,0;0]:[337,-1797;28]:[-1339,-5254;30]:[335,68;29]:[-293,-2179;28]:[-817,-2022;29]:[-273,1030;29]:[-9319,-2970;30]:[-2075,7258;29]:[-5591,-2494;30]:[237,745;27]:[-7037,-1738;29]:[-645,-3854;30]:[-7925,-180;29]:[2883,-768;27]:[1243,-3515;27]:
[0,0;0]:[-4061,2882;29]:[-2747,-1819;31]:[-381,-1651;30]:[-7951,1880;29]:[-4713,-2453;30]:[7751,-601;30]:[-11599,-1419;31]:[-6563,5065;30]:[11017,5929;31]:[47,-1426;28]:[8131,-1817;30]:[12323,14279;31]:[-2129,-631;30]:[-2665,2715;28]:[1207,-2012;28]:
[0,0;0]:[4869,4434;29]:[9355,-14929;31]:[-2147,2287;30]:[1599,144;29]:[-11783,4497;30]:[-4535,-3835;30]:[8959,-3905;31]:[-957,2723;30]:[-2233,-1285;31]:[-1775,-746;28]:[2045,-2707;30]:[4813,-1403;31]:[9105,1379;30]:[5489,3501;28]:[-547,204;28]:
[0,0;0]:[-2177,4;25]:[-669,-1171;27]:[-4131,97;26]:[-893,172;25]:[-815,-981;26]:[-883,-145;26]:[1143,1333;27]:[995,621;26]:[1983,-3199;27]:[-219,91;24]:[-879,1651;26]:[-307,607;27]:[1489,1381;26]:[-69,-551;24]:[-629,-244;24]:
[0,0;0]:[-4503,-479;28]:[-2635,8560;30]:[-1625,3110;29]:[2623,2265;28]:[-2865,3100;29]:[263,336;29]:[6441,-2324;30]:[-4059,4;29]:[-2375,5360;30]:[509,1149;27]:[939,-1076;29]:[3035,-788;30]:[-5005,4790;29]:[2823,924;27]:[-5151,-1757;27]:
[0,0;0]:[2017,-348;29]:[3491,-13311;31]:[-4131,-4923;30]:[2011,3430;29]:[5425,-2041;30]:[5681,4267;30]:[-13721,-1255;31]:[-6165,-4475;30]:[-577,1141;31]:[2461,1528;28]:[-1803,-5013;30]:[-2331,307;31]:[-2831,10161;30]:[-167,-357;28]:[-3559,3774;28]:
[0,0;0]:[1361,-3632;29]:[3195,533;31]:[-4907,3249;30]:[3347,2990;29]:[7385,-29;30]:[14937,-297;30]:[10047,-2867;31]:[1267,6529;30]:[-12745,537;31]:[-4123,-3132;28]:[-8691,463;30]:[-4723,11615;31]:[2857,-1139;30]:[489,683;28]:[141,1566;28]:
[0,0;0]:[77,429;25]:[667,296;27]:[105,618;26]:[-347,237;25]:[2081,1036;26]:[181,-1188;26]:[-1769,-1076;27]:[859,80;26]:[-3593,-1608;27]:[2357,-698;24]:[665,908;26]:[4717,236;27]:[781,258;26]:[359,-520;24]:[-159,-79;24]:
[0,0;0]:[-1299,1769;28]:[-2079,-492;30]:[2363,-2150;29]:[7859,781;28]:[-3277,344;29]:[5419,-3492;29]:[-7259,-3264;30]:[5249,1904;29]:[5781,-1308;30]:[-239,-555;27]:[9039,2736;29]:[-11345,1560;30]:[-2185,90;29]:[2115,-2052;27]:[-31,-193;27]:
